"position.disgap","Type","MinLongitudinalSpeed"
-195,"Max",102.168156443136
-185,"Max",101.660773048023
-175,"Max",101.124773264458
-165,"Max",100.620313476007
-155,"Max",100.080781374357
-145,"Max",99.5722808299094
-135,"Max",99.0721025962146
-125,"Max",98.5659001672674
-115,"Max",98.0627902186293
-105,"Max",97.5212409180688
-95,"Max",97.0201048521736
-85,"Max",96.5522396078085
-75,"Max",96.0542813400681
-65,"Max",96.1924132833041
-55,"Max",96.3141923087849
-45,"Max",96.4403074360334
-35,"Max",96.5509552902065
-25,"Max",96.6505123899036
-15,"Max",96.8229642196227
-5,"Max",96.9076409083858
5,"Max",96.9892174752973
15,"Max",97.1226005767924
25,"Max",97.2133928263282
35,"Max",97.0226987349145
45,"Max",96.6300109834555
55,"Max",96.2322655389063
65,"Max",95.8383984342182
75,"Max",95.4806646108591
85,"Max",95.1135546726336
95,"Max",94.7461431229576
105,"Max",94.3674067181516
115,"Max",93.9961214215258
125,"Max",93.610840996836
135,"Max",93.2645795648522
145,"Max",92.913285104015
155,"Max",92.5233008758565
165,"Max",92.1351192026708
175,"Max",91.7441650361106
185,"Max",91.3485513597808
195,"Max",90.9497776996221
-195,"P85",96.4440582037695
-185,"P85",96.4256075674016
-175,"P85",96.507237896392
-165,"P85",96.4870206345888
-155,"P85",96.4360711202042
-145,"P85",96.3617974012484
-135,"P85",96.2627713750142
-125,"P85",96.2189827971841
-115,"P85",96.173696068371
-105,"P85",96.1200403900441
-95,"P85",96.101500978151
-85,"P85",96.0604864702625
-75,"P85",96.0204110814277
-65,"P85",95.6791018350997
-55,"P85",95.3320581548713
-45,"P85",94.9580959687874
-35,"P85",94.6080683946044
-25,"P85",94.2799479126028
-15,"P85",93.9182835262623
-5,"P85",93.5888994541448
5,"P85",93.6888594253238
15,"P85",93.8643994099392
25,"P85",93.6223602732319
35,"P85",93.249923421611
45,"P85",92.8792444895533
55,"P85",92.4843864770244
65,"P85",92.1045151709972
75,"P85",91.7245665479026
85,"P85",91.3385161608728
95,"P85",90.9760518277094
105,"P85",90.6078216119418
115,"P85",90.2402916758617
125,"P85",89.8160872093526
135,"P85",89.4287825185774
145,"P85",89.1451749657287
155,"P85",88.6700886901126
165,"P85",88.2964718250576
175,"P85",87.8973151353182
185,"P85",87.6793202257149
195,"P85",87.6606117002642
-195,"Median",90.9724339705691
-185,"Median",90.8101627272354
-175,"Median",90.612435022231
-165,"Median",90.5402561517309
-155,"Median",90.4682113733565
-145,"Median",90.3963128421908
-135,"Median",90.3588087956613
-125,"Median",90.5402891273364
