"position.disgap","Type","Laneoffset"
-195,"Max",-0.14
-185,"Max",-0.141052631578947
-175,"Max",-0.165
-165,"Max",-0.22952380952381
-155,"Max",-0.332
-145,"Max",-0.448
-135,"Max",-0.544285714285714
-125,"Max",-0.607826086956522
-115,"Max",-0.639047619047619
-105,"Max",-0.603636363636364
-95,"Max",-0.544090909090909
-85,"Max",-0.46047619047619
-75,"Max",-0.353333333333333
-65,"Max",-0.254545454545455
-55,"Max",-0.202857142857143
-45,"Max",-0.21
-35,"Max",-0.235238095238095
-25,"Max",-0.243333333333333
-15,"Max",-0.233636363636364
-5,"Max",-0.2
5,"Max",-0.16
15,"Max",-0.16
25,"Max",-0.230909090909091
35,"Max",-0.342727272727273
45,"Max",-0.46
55,"Max",-0.571818181818182
65,"Max",-0.69
75,"Max",-0.791818181818182
85,"Max",-0.793636363636364
95,"Max",-0.733
105,"Max",-0.679090909090909
115,"Max",-0.646363636363636
125,"Max",-0.655833333333333
135,"Max",-0.685
145,"Max",-0.7175
155,"Max",-0.741818181818182
165,"Max",-0.745454545454545
175,"Max",-0.75
185,"Max",-0.755454545454545
195,"Max",-0.788
-195,"P85",-0.303636363636364
-185,"P85",-0.319278195488722
-175,"P85",-0.353727272727273
-165,"P85",-0.36520082815735
-155,"P85",-0.4076
-145,"P85",-0.471563636363636
-135,"P85",-0.561514285714286
-125,"P85",-0.633130434782609
-115,"P85",-0.645919047619048
-105,"P85",-0.642932806324111
-95,"P85",-0.617350649350649
-85,"P85",-0.57282683982684
-75,"P85",-0.51469696969697
-65,"P85",-0.463727272727273
-55,"P85",-0.437051948051948
-45,"P85",-0.395428571428571
-35,"P85",-0.355995238095238
-25,"P85",-0.315333333333333
-15,"P85",-0.28355980861244
-5,"P85",-0.260545454545455
5,"P85",-0.2572
15,"P85",-0.2818
25,"P85",-0.347636363636364
35,"P85",-0.440090909090909
45,"P85",-0.5386
55,"P85",-0.639727272727273
65,"P85",-0.741272727272727
75,"P85",-0.827927272727273
85,"P85",-0.844854545454545
95,"P85",-0.838109090909091
105,"P85",-0.804436363636364
115,"P85",-0.770945454545454
125,"P85",-0.756515151515151
135,"P85",-0.76
145,"P85",-0.758818181818182
155,"P85",-0.752181818181818
165,"P85",-0.757181818181818
175,"P85",-0.7745
185,"P85",-0.794181818181818
195,"P85",-0.835563636363636
-195,"Median",-0.564090909090909
-185,"Median",-0.52
-175,"Median",-0.486818181818182
-165,"Median",-0.561818181818182
-155,"Median",-0.62
-145,"Median",-0.620476190476191
-135,"Median",-0.637272727272727
-125,"Median",-0.682857142857143
-115,"Median",-0.758095238095238
-105,"Median",-0.793684210526316
-95,"Median",-0.796190476190476
-85,"Median",-0.773684210526316
-75,"Median",-0.728571428571429
-65,"Median",-0.6715
-55,"Median",-0.599
-45,"Median",-0.588181818181818
-35,"Median",-0.586190476190476
-25,"Median",-0.602272727272727
-15,"Median",-0.636315789473684
-5,"Median",-0.7
5,"Median",-0.778181818181818
15,"Median",-0.852
25,"Median",-0.914545454545455
35,"Median",-0.953636363636364
45,"Median",-0.958181818181818
55,"Median",-0.94
65,"Median",-0.903
75,"Median",-0.853333333333333
85,"Median",-0.897
95,"Median",-0.946363636363636
105,"Median",-0.982727272727273
115,"Median",-0.925454545454545
125,"Median",-0.87
135,"Median",-0.826
145,"Median",-0.817272727272727
155,"Median",-0.836
165,"Median",-0.855
