"position.disgap","Type","LateralAcc"
-195,"Max",13.0740104837535
-185,"Max",10.6246681656959
-175,"Max",5.56751534074161
-165,"Max",5.97347347939242
-155,"Max",5.55448721121965
-145,"Max",5.55386034469534
-135,"Max",5.54531599895487
-125,"Max",5.55437956453491
-115,"Max",1.87684536821206
-105,"Max",13.9041572166536
-95,"Max",11.5315156006015
-85,"Max",5.92334558698472
-75,"Max",17.2198095469328
-65,"Max",6.44582869209895
-55,"Max",5.55692892409169
-45,"Max",5.90733034342288
-35,"Max",5.55859885039052
-25,"Max",5.58987916782941
-15,"Max",5.88610316802766
-5,"Max",1.37923814539596
5,"Max",0.978377252052056
15,"Max",1.1075078660799
25,"Max",0.928778067389187
35,"Max",0.976254175756353
45,"Max",7.36307236328371
55,"Max",2.77210472169951
65,"Max",1.39337428467257
75,"Max",9.94698909967687
85,"Max",8.53946269319442
95,"Max",0.969586851144167
105,"Max",0.969069237276956
115,"Max",1.82592675425148
125,"Max",5.49392212331651
135,"Max",1.93394950095057
145,"Max",0.966525928391895
155,"Max",0.965611773534933
165,"Max",1.36573245871691
175,"Max",1.38116270906101
185,"Max",1.38064105062893
195,"Max",4.94841834302649
-195,"P85",8.818386897664
-185,"P85",5.44500377414434
-175,"P85",3.35648762996191
-165,"P85",5.78274195243504
-155,"P85",3.88434642808679
-145,"P85",3.04511730675101
-135,"P85",3.4075839226611
-125,"P85",5.54668411204671
-115,"P85",1.85763632483197
-105,"P85",8.89553559544646
-95,"P85",8.16862789605789
-85,"P85",5.70241941767453
-75,"P85",8.07081366663291
-65,"P85",5.912567304296
-55,"P85",5.52856700042518
-45,"P85",5.72020772025253
-35,"P85",5.53405210242562
-25,"P85",5.57213280521639
-15,"P85",3.4590548264618
-5,"P85",1.13930157893486
5,"P85",0.949257949091387
15,"P85",0.999151340573708
25,"P85",0.928146815345356
35,"P85",0.947882191894554
45,"P85",3.49934416452109
55,"P85",1.65822437358997
65,"P85",1.13986681491986
75,"P85",4.53186103387974
85,"P85",3.97233185114419
95,"P85",0.94576804606973
105,"P85",0.941918174850932
115,"P85",1.31026545339581
125,"P85",2.77800557756212
135,"P85",1.33050753775875
