"Position","Acc_surge_max","Acc_surge_85","Acc_surge_median","Acc_surge_mean","Acc_surge_min","Driver_ID"
-155,-0.06,-0.06,-0.06,-0.0633333333333333,-0.07,"Driver03"
-145,-0.06,-0.07,-0.075,-0.0805,-0.18,"Driver03"
-135,0.04,-0.09,-0.11,-0.0890909090909091,-0.16,"Driver03"
-125,0.09,0.00149999999999999,-0.04,-0.0615,-0.41,"Driver03"
-115,0.06,-0.09,-0.09,-0.0845,-0.1,"Driver03"
-105,0.08,-0.08,-0.09,-0.0785714285714286,-0.17,"Driver03"
-95,0.05,0.01,-0.1,-0.0628571428571429,-0.16,"Driver03"
-85,0.05,0.01,-0.04,-0.0576190476190476,-0.33,"Driver03"
-75,0.07,0.05,-0.01,-0.0245,-0.23,"Driver03"
-65,0.02,-0.07,-0.08,-0.0727272727272727,-0.09,"Driver03"
-55,0.08,0.04,-0.07,-0.042,-0.11,"Driver03"
-45,-0.07,-0.07,-0.08,-0.0785714285714286,-0.09,"Driver03"
-35,-0.08,-0.08,-0.08,-0.08,-0.08,"Driver03"
-25,0.03,0.01,-0.08,-0.0538095238095238,-0.08,"Driver03"
-15,0.07,0.06,0.03,0.00952380952380952,-0.19,"Driver03"
-5,0.05,0.03,-0.04,-0.0368181818181818,-0.29,"Driver03"
5,0.06,0.02,-0.03,-0.0633333333333333,-0.39,"Driver03"
15,0.07,-0.0685,-0.08,-0.0735,-0.11,"Driver03"
25,-0.09,-0.09,-0.09,-0.09,-0.09,"Driver03"
35,0.09,-0.09,-0.09,-0.107619047619048,-0.55,"Driver03"
45,0.05,0.01,-0.1,-0.0928571428571429,-0.54,"Driver03"
55,-0.01,-0.09,-0.1,-0.112380952380952,-0.45,"Driver03"
65,0.08,0.00849999999999998,-0.07,-0.0727272727272727,-0.26,"Driver03"
75,-0.08,-0.1,-0.1,-0.0985714285714286,-0.11,"Driver03"
85,-0.09,-0.09,-0.09,-0.0923809523809524,-0.1,"Driver03"
95,0.02,-0.023,-0.09,-0.0727272727272727,-0.18,"Driver03"
105,0.06,0.0354999999999999,-0.065,-0.0918181818181818,-0.5,"Driver03"
115,0.02,0,-0.03,-0.0471428571428571,-0.17,"Driver03"
125,0.04,-0.01,-0.06,-0.0519047619047619,-0.1,"Driver03"
135,-0.08,-0.09,-0.09,-0.0919047619047619,-0.11,"Driver03"
145,-0.09,-0.09,-0.09,-0.09,-0.09,"Driver03"
155,-0.09,-0.09,-0.09,-0.09,-0.09,"Driver03"
165,-0.08,-0.09,-0.09,-0.0895454545454545,-0.09,"Driver03"
175,-0.01,-0.09,-0.09,-0.0831818181818182,-0.09,"Driver03"
185,0.02,0,-0.05,-0.0504347826086957,-0.16,"Driver03"
195,0.01,-0.02,-0.09,-0.066,-0.11,"Driver03"
-195,0.26,0.16,0.1,0.108636363636364,-0.22,"Driver04"
-185,0.13,0.1,0.09,0.0963636363636364,0.09,"Driver04"
-175,0.23,0.21,0.13,0.143636363636364,0.09,"Driver04"
-165,0.22,0.157,0.095,0.107272727272727,-0.01,"Driver04"
-155,0.11,0.1,0.1,0.0961904761904762,0.09,"Driver04"
-145,0.23,0.1455,0.09,0.102272727272727,-0.12,"Driver04"
-135,0.1,0.09,0.09,0.0909090909090909,0.09,"Driver04"
-125,0.09,0.09,0.09,0.0868181818181818,0.08,"Driver04"
-115,0.18,0.11,0.09,0.0972727272727273,0.06,"Driver04"
-105,0.32,0.17,0.12,0.148181818181818,0.1,"Driver04"
-95,0.27,0.21,0.13,0.145652173913043,-0.03,"Driver04"
-85,0.24,0.21,0.1,0.142380952380952,0.1,"Driver04"
-75,0.11,0.1,0.1,0.10047619047619,0.1,"Driver04"
-65,0.2,0.11,0.1,0.0965217391304348,-0.24,"Driver04"
-55,0.24,0.17,0.1,0.102380952380952,-0.2,"Driver04"
-45,0.19,0.16,0.09,0.118260869565217,0.09,"Driver04"
-35,0.23,0.23,0.17,0.145,-0.22,"Driver04"
-25,0.2,0.17,0.11,0.0963636363636364,-0.2,"Driver04"
-15,0.25,0.157,0.095,0.101363636363636,-0.12,"Driver04"
-5,0.17,0.0855,0.08,0.0820833333333333,0.07,"Driver04"
5,0.31,0.143,0.07,0.0642105263157895,-0.17,"Driver04"
15,0.11,0.08,0.07,0.0582608695652174,-0.2,"Driver04"
25,0.18,0.14,0.07,0.0871428571428571,0.06,"Driver04"
35,0.21,0.11,0.06,0.0866666666666667,0.06,"Driver04"
45,0.15,0.107,0.06,0.0756521739130435,0.06,"Driver04"
55,0.19,0.08,0.05,0.060952380952381,-0.03,"Driver04"
65,0.13,0.11,0.06,0.0618181818181818,-0.24,"Driver04"
75,0.18,0.09,0.05,0.0638095238095238,-0.06,"Driver04"
85,0.06,0.06,0.06,0.0581818181818182,0.02,"Driver04"
95,0.14,0.127,0.06,0.0845454545454545,0.06,"Driver04"
