"Position","Acc_sway_max","Acc_sway_85","Acc_sway_median","Acc_sway_mean","Acc_sway_min","Driver_ID"
-155,0.05,0.05,0.04,0.0433333333333333,0.04,"Driver03"
-145,0.08,0.0415,0.04,0.0255,-0.02,"Driver03"
-135,-0.01,-0.0215,-0.05,-0.0640909090909091,-0.21,"Driver03"
-125,0.25,-0.037,-0.2,-0.1815,-0.4,"Driver03"
-115,-0.33,-0.3385,-0.36,-0.359,-0.4,"Driver03"
-105,-0.1,-0.42,-0.47,-0.470952380952381,-0.72,"Driver03"
-95,0.05,-0.43,-0.46,-0.478571428571429,-0.69,"Driver03"
-85,0.05,-0.59,-0.67,-0.574761904761905,-0.72,"Driver03"
-75,0.13,-0.318,-0.485,-0.4755,-0.78,"Driver03"
-65,-0.07,-0.11,-0.18,-0.181818181818182,-0.37,"Driver03"
-55,0.19,-0.14,-0.195,-0.174,-0.27,"Driver03"
-45,-0.08,-0.1,-0.11,-0.115238095238095,-0.16,"Driver03"
-35,-0.16,-0.17,-0.2,-0.194285714285714,-0.23,"Driver03"
-25,-0.23,-0.24,-0.25,-0.288571428571429,-0.39,"Driver03"
-15,0.08,-0.25,-0.51,-0.387142857142857,-0.53,"Driver03"
-5,0.23,-0.33,-0.375,-0.332272727272727,-0.44,"Driver03"
5,0.15,-0.07,-0.18,-0.172380952380952,-0.43,"Driver03"
15,0.19,-0.1455,-0.225,-0.1985,-0.3,"Driver03"
25,-0.31,-0.32,-0.38,-0.373809523809524,-0.44,"Driver03"
35,0.11,-0.44,-0.47,-0.438095238095238,-0.56,"Driver03"
45,0.08,-0.49,-0.55,-0.510476190476191,-0.73,"Driver03"
55,-0.14,-0.47,-0.47,-0.472857142857143,-0.56,"Driver03"
65,0.02,-0.336,-0.48,-0.472272727272727,-0.77,"Driver03"
75,-0.22,-0.24,-0.33,-0.353333333333333,-0.59,"Driver03"
85,-0.1,-0.12,-0.17,-0.162380952380952,-0.22,"Driver03"
95,0.2,-0.05,-0.07,-0.0554545454545455,-0.13,"Driver03"
105,0.22,0.111,-0.07,-0.0413636363636364,-0.19,"Driver03"
115,0.19,0.04,-0.08,-0.0395238095238095,-0.13,"Driver03"
