"position.disgap","Type","LongitudinalAccRate"
-195,"Max",72.851462059871
-185,"Max",91.2398385071102
-175,"Max",66.6663997875817
-165,"Max",374.615034286314
-155,"Max",196.809809165619
-145,"Max",202.63703052263
-135,"Max",137.771324328167
-125,"Max",239.020617564773
-115,"Max",427.681711157509
-105,"Max",266.056176486297
-95,"Max",480.051652358549
-85,"Max",175.168638584136
-75,"Max",375.195850680086
-65,"Max",140.303998531265
-55,"Max",93.8132509224338
-45,"Max",145.285820305216
-35,"Max",269.205380925753
-25,"Max",402.068393849151
-15,"Max",327.345289893694
-5,"Max",53.3289134168135
5,"Max",52.8713544354998
15,"Max",15.2855707755608
25,"Max",149.349220166326
35,"Max",19.361455879095
45,"Max",47.5815114895709
55,"Max",30.3093194185465
65,"Max",13.9187273332602
75,"Max",40.9619284913719
85,"Max",28.5728275411059
95,"Max",19.992455887353
105,"Max",15.5544142765225
115,"Max",103.315686688925
125,"Max",21.053070912563
135,"Max",52.9518106653126
145,"Max",65.294531388879
155,"Max",14.7575583214574
165,"Max",65.863338234528
175,"Max",14.6802590292485
185,"Max",40.824070282478
195,"Max",36.2210666730784
-195,"P85",66.64482758325
-185,"P85",61.5528892335602
-175,"P85",58.4310890868073
-165,"P85",262.201843421703
-155,"P85",123.806970272237
-145,"P85",126.120752684095
-135,"P85",92.6805299685078
-125,"P85",146.946470627999
-115,"P85",254.001876109205
-105,"P85",214.341380608932
-95,"P85",322.248681354275
-85,"P85",152.817843737505
-75,"P85",198.654515046532
-65,"P85",137.901474551996
-55,"P85",88.1841909140288
-45,"P85",139.748071369653
-35,"P85",236.056134965549
-25,"P85",262.791008682135
-15,"P85",263.521010583152
-5,"P85",37.9448569560461
5,"P85",42.7282126929558
15,"P85",13.6288938851367
25,"P85",88.7451945975797
35,"P85",16.0862836548098
45,"P85",41.8754016674304
55,"P85",20.3047417653557
65,"P85",13.8152193395592
75,"P85",24.7375858627157
85,"P85",23.330885691979
95,"P85",15.6477167490044
105,"P85",14.0374722879078
115,"P85",64.4831590823104
125,"P85",16.7742346154018
135,"P85",38.4534213567326
145,"P85",44.7851674263245
155,"P85",14.7337427652233
165,"P85",40.1349029292398
175,"P85",14.2496047819427
185,"P85",30.0636749034797
195,"P85",28.5053373217585
-195,"Median",55.6552078742295
-185,"Median",40.6228575683372
-175,"Median",43.6588538970409
-165,"Median",131.361320978421
-155,"Median",74.8826766288899
-145,"Median",62.682458359746
-135,"Median",46.7113291608929
-125,"Median",76.4792358358414
-115,"Median",93.7692481255743
-105,"Median",63.6269013749416
-95,"Median",135.484644664492
-85,"Median",112.579567719034
-75,"Median",46.9532193621927
-65,"Median",135.033442543177
-55,"Median",65.2283703245977
-45,"Median",127.945525976207
-35,"Median",141.297036744667
-25,"Median",86.1066812340323
-15,"Median",41.4772342199683
-5,"Median",14.0337636686818
5,"Median",18.2537997659714
15,"Median",11.0857416517141
25,"Median",17.3112317718128
35,"Median",11.51791127383
45,"Median",23.5172050439992
55,"Median",11.9296834151251
65,"Median",10.3085528556218
75,"Median",12.2272673945674
85,"Median",15.3929692385784
95,"Median",12.1933467250734
105,"Median",10.4621867579502
115,"Median",27.4021987950504
125,"Median",13.1577866477622
135,"Median",24.5030781710541
145,"Median",13.2826157610038
155,"Median",13.3380085829747
165,"Median",13.9578674376085
175,"Median",13.9207719336016
185,"Median",18.3226626862366
195,"Median",19.3858740776736
-195,"Avg",54.8270335123411
-185,"Avg",43.3217820739865
-175,"Avg",48.0063990780072
-165,"Avg",165.613966841437
-155,"Avg",80.8079295374451
-145,"Avg",83.696402763201
-135,"Avg",64.572811885041
-125,"Avg",103.574181391105
-115,"Avg",154.428895186424
-105,"Avg",122.170529220296
-95,"Avg",189.544183808686
-85,"Avg",120.625461234487
-75,"Avg",112.303164813732
-65,"Avg",122.273790884491
-55,"Avg",71.2905925999106
-45,"Avg",112.293048859755
-35,"Avg",159.67644285648
-25,"Avg",153.552374970631
-15,"Avg",133.342652426956
-5,"Avg",23.3751347457905
5,"Avg",25.1078584503193
15,"Avg",12.0152624502543
25,"Avg",47.7288402139859
35,"Avg",12.3814480454969
45,"Avg",26.5585480664585
55,"Avg",14.2509326899016
65,"Avg",11.6944725849584
75,"Avg",17.1076467164076
85,"Avg",17.7024427683972
95,"Avg",13.7742904487691
105,"Avg",11.0204018192993
115,"Avg",38.1534238343013
125,"Avg",13.2291754447994
135,"Avg",25.9177131192172
145,"Avg",25.9191896663484
155,"Avg",12.7551408215353
165,"Avg",24.5157527007102
175,"Avg",13.6012713277107
185,"Avg",22.1373695921781
195,"Avg",18.8917894278376
-195,"Min",41.4265916018179
-185,"Min",20.0190705326689
-175,"Min",35.1083079021809
-165,"Min",40.7154768829925
-155,"Min",15.4304199966116
-145,"Min",31.3082436996058
-135,"Min",31.2236769494758
-125,"Min",41.8011094273285
-115,"Min",42.2180095311629
-105,"Min",41.8103177227604
-95,"Min",41.723135877523
-85,"Min",75.1104293527134
-75,"Min",27.1150171813028
-65,"Min",75.0408555307672
-55,"Min",55.8081330540579
-45,"Min",46.6293361795518
-35,"Min",70.509126795862
-25,"Min",45.6688035261342
-15,"Min",35.4583011111866
-5,"Min",10.4757598787539
5,"Min",8.0508077877145
15,"Min",10.30213226441
25,"Min",9.68114364313664
35,"Min",5.96678277911519
45,"Min",10.1528316797027
55,"Min",5.07141734997212
65,"Min",10.242177445394
75,"Min",8.17311868905549
85,"Min",10.2394716870097
95,"Min",11.8423362943932
105,"Min",7.28448229523458
115,"Min",10.2668649560631
125,"Min",7.30507317412498
135,"Min",9.39980920555967
145,"Min",7.21762797329628
155,"Min",9.39036620509284
165,"Min",6.62447485452104
175,"Min",12.2241638532569
185,"Min",13.9916801693835
195,"Min",4.73533150830999
