"position.disgap","Type","MedianLateralSpeed"
-195,"Max",0.317034565525762
-185,"Max",0.263145634761675
-175,"Max",0.216510416226497
-165,"Max",0.160634808765986
-155,"Max",0.104683456571355
-145,"Max",0.0741093991952354
-135,"Max",0.0206130280123728
-125,"Max",0.307427812857139
-115,"Max",0.363116595976039
-105,"Max",0.391492482850704
-95,"Max",0.475259328341087
-85,"Max",0.270080922955054
-75,"Max",0.298043030896384
-65,"Max",0.121400303839393
-55,"Max",-0.177747462194955
-45,"Max",-0.123551495805163
-35,"Max",-0.0426760807111969
-25,"Max",0.0126387582816097
-15,"Max",0.0684765923670129
-5,"Max",0.12425191690492
5,"Max",0.17731954442237
15,"Max",0.00399127093928718
25,"Max",0.032450518608965
35,"Max",0.0891500875770181
45,"Max",0.174257363567149
55,"Max",-0.0313047452569864
65,"Max",0.0254293566821157
75,"Max",0.0538201279605638
85,"Max",0.0311172845692425
95,"Max",0.0878992452136457
105,"Max",-0.0895245304508845
115,"Max",-0.0458866616316235
125,"Max",0.0240311572745853
135,"Max",0.0524204370935635
145,"Max",0.137500731425508
155,"Max",0.164446398894881
165,"Max",-0.0091821191758466
175,"Max",0.0473194617478166
185,"Max",0.103977477767131
195,"Max",0.160273173656278
-195,"P85",0.166406766272475
-185,"P85",0.251919134737128
-175,"P85",0.212154010840218
-165,"P85",0.157428229313154
-155,"P85",0.102583405244397
-145,"P85",0.0663838328688909
-135,"P85",0.0203409712216446
-125,"P85",0.151560326240405
-115,"P85",0.0539098288859347
-105,"P85",0.0975721755943177
-95,"P85",0.162413528532988
-85,"P85",0.114099084202727
-75,"P85",0.108199365015463
-65,"P85",-0.0905459819275591
-55,"P85",-0.179648349801068
-45,"P85",-0.124862772348131
-35,"P85",-0.0585758551647955
-25,"P85",-0.00389539655279245
-15,"P85",0.0678231861025323
-5,"P85",0.123054083928772
5,"P85",0.162231916816524
15,"P85",-0.0127108761152239
25,"P85",0.0321672504861076
35,"P85",0.0884037619471859
45,"P85",0.138241588464884
55,"P85",-0.0390738297024604
65,"P85",0.025032934399575
75,"P85",0.00652376046720094
85,"P85",-0.10796851935647
95,"P85",-0.0670483704387509
105,"P85",-0.104832676779417
115,"P85",-0.0541482633524048
125,"P85",0.0236921976543455
135,"P85",0.0521166494158928
145,"P85",0.119906525504607
155,"P85",0.0261035675389282
165,"P85",-0.00920477719061859
175,"P85",0.0472650349561752
185,"P85",0.103852643532712
195,"P85",0.158444369985096
-195,"Median",0.0629607572646815
-185,"Median",0.00960436314231651
-175,"Median",-0.0439018199880517
-165,"Median",-0.0859228270704138
-155,"Median",-0.151288395352068
-145,"Median",0.0486462492293799
-135,"Median",0.0201534624463688
-125,"Median",-0.00744679066056664
-115,"Median",-0.153396764716642
-105,"Median",-0.100262179710534
-95,"Median",-0.36634660237479
-85,"Median",-0.33960496070489
-75,"Median",-0.285821689864632
-65,"Median",-0.236023947276377
-55,"Median",-0.182356968866358
-45,"Median",-0.126864102752524
-35,"Median",-0.311111313124001
-25,"Median",-0.243006242951538
-15,"Median",-0.192562490278981
-5,"Median",-0.133441177313587
5,"Median",-0.0808214703401085
15,"Median",-0.0242041025562064
25,"Median",0.0314957517721587
35,"Median",0.086615321104583
45,"Median",-0.086849026220564
55,"Median",-0.0588881447389664
65,"Median",-0.0802981805393147
75,"Median",-0.0253345250887559
85,"Median",-0.211904491898342
95,"Median",-0.170555717838411
105,"Median",-0.115179392335965
115,"Median",-0.0604996769010512
125,"Median",0.00974237043262835
135,"Median",0.0512028510270688
145,"Median",0.0789257005856774
155,"Median",-0.0785151222313181
165,"Median",-0.0093127784855176
175,"Median",0.0469648717834913
185,"Median",0.102305141308861
195,"Median",0.116139625937501
-195,"Avg",0.0254097734766995
-185,"Avg",-0.0334707299111416
