"position.disgap","Type","MedianLateralSpeed"
-195,"Max",0.0508239852335177
-185,"Max",0.142884987327261
-175,"Max",0.0881277755799919
-165,"Max",0.0696841890336243
-155,"Max",0.139815512552834
-145,"Max",0.200556020728969
-135,"Max",0.0302913315158347
-125,"Max",0.0292965558375874
-115,"Max",0.0878466072424269
-105,"Max",0.125535573093041
-95,"Max",0.0605427407864739
-85,"Max",0.108262328753554
-75,"Max",0.147105614449302
-65,"Max",0.130292696184704
-55,"Max",0.179460022025459
-45,"Max",0.240576659053923
-35,"Max",0.199794610599094
-25,"Max",0.14410540726502
-15,"Max",-0.0161668112786073
-5,"Max",-0.0280923128318428
5,"Max",-0.183165297043862
15,"Max",0.024158352265333
25,"Max",0.191562487861062
35,"Max",0.283132988082517
45,"Max",-0.795703052122357
55,"Max",-0.635287489574838
65,"Max",-0.254801125779832
75,"Max",-0.199172505029816
85,"Max",-0.161172749567549
95,"Max",0.0643955589476964
105,"Max",0.108147080677438
115,"Max",0.153449265647291
125,"Max",0.199483687433932
135,"Max",0.310209707351788
145,"Max",0.364786681720093
155,"Max",0.406017659507338
165,"Max",0.122418287507485
175,"Max",0.176442610434833
185,"Max",0.244810816477147
195,"Max",0.152690058865213
-195,"P85",0.0389082229510926
-185,"P85",0.0202306293499801
-175,"P85",0.086341346233981
-165,"P85",0.0297407445487105
-155,"P85",0.0916026857627609
-145,"P85",0.151248864529168
-135,"P85",5.06227050697111e-05
-125,"P85",0.0271102072419067
-115,"P85",0.0789731086881813
-105,"P85",0.0386371421421622
-95,"P85",0.0522186635698756
-85,"P85",0.0600150147451989
-75,"P85",0.110634319184497
-65,"P85",0.0333960604875844
-55,"P85",0.0313189640374682
-45,"P85",0.126717098139582
-35,"P85",0.142295605837774
-25,"P85",0.143428034425103
-15,"P85",-0.0164359035680928
-5,"P85",-0.0348637498383418
5,"P85",-0.287170378768837
15,"P85",0.000460236912329904
25,"P85",-0.826171748775118
35,"P85",-0.509914553930719
45,"P85",-0.901135196494741
55,"P85",-0.832536479273179
65,"P85",-0.316519485691283
75,"P85",-0.270892715608117
85,"P85",-0.229893145871423
