"position.disgap","Type","AvgLateralSpeed"
-195,"Max",0.291387705512424
-185,"Max",0.342251170865491
-175,"Max",0.39593962918326
-165,"Max",0.269811737449964
-155,"Max",0.148250229290813
-145,"Max",0.188155409319539
-135,"Max",0.241767676764632
-125,"Max",0.222924053890048
-115,"Max",0.171839734875491
-105,"Max",0.122402290589218
-95,"Max",0.395354495567991
-85,"Max",0.353752454811687
-75,"Max",0.294929899599082
-65,"Max",0.406789598455804
-55,"Max",0.426088102883479
-45,"Max",0.379259837546468
-35,"Max",0.323554322714849
-25,"Max",0.26697784329914
-15,"Max",0.205911618032072
-5,"Max",0.144064802164382
5,"Max",0.282680208138222
15,"Max",0.281994877146946
25,"Max",0.221704532058099
35,"Max",0.214341846321163
45,"Max",0.203698896115326
55,"Max",0.155839999823528
65,"Max",0.09211136719903
75,"Max",0.175592256801825
85,"Max",0.239559200081391
95,"Max",0.267657783723621
105,"Max",0.380036101334352
115,"Max",0.337105935858932
125,"Max",0.367105668249841
135,"Max",0.313167955695458
145,"Max",0.247043192816675
155,"Max",0.193742970201852
165,"Max",0.115796832030037
175,"Max",-0.0425327585039811
185,"Max",0.0808992777842808
195,"Max",0.108269512954962
-195,"P85",0.190197469260511
-185,"P85",0.33943253023387
-175,"P85",0.31517475685881
-165,"P85",0.164990352253653
-155,"P85",0.145194129648025
-145,"P85",0.0525236708661471
-135,"P85",0.090599025039228
-125,"P85",0.17616707711116
-115,"P85",0.170362739754817
-105,"P85",0.119977054909907
-95,"P85",0.343675749784792
-85,"P85",0.348783670632563
-75,"P85",0.29348035766999
-65,"P85",0.304621556097157
-55,"P85",0.276186095307253
-45,"P85",0.27793487716652
-35,"P85",0.321361459047957
-25,"P85",0.265765783737011
-15,"P85",0.205904907107426
-5,"P85",0.140682500126384
5,"P85",0.242727495077666
15,"P85",0.276593544104492
25,"P85",0.219669708074662
35,"P85",0.187490854076561
45,"P85",0.143956728706139
55,"P85",0.111873540849314
65,"P85",0.0917679989398245
75,"P85",0.0920181915178552
85,"P85",0.233563344053739
95,"P85",0.211456474605714
105,"P85",0.22201261586626
115,"P85",0.171142934991305
125,"P85",0.292708622955898
135,"P85",0.238812355276748
145,"P85",0.17717711537029
155,"P85",0.125615837985437
165,"P85",0.0586349707969766
175,"P85",-0.043996087624362
185,"P85",-0.02921700921101
195,"P85",-0.00110493367639882
-195,"Median",-0.0583214647447122
-185,"Median",-0.00959832550180901
-175,"Median",0.0439021636884478
-165,"Median",0.0921401216436461
-155,"Median",0.133999446353309
-145,"Median",-0.0550096720880987
-135,"Median",-0.0104921504011163
-125,"Median",0.07685030999944
-115,"Median",0.16806480390102
-105,"Median",0.113890169780897
-95,"Median",0.267927494394198
-85,"Median",0.344442570620774
-75,"Median",0.290493755785629
-65,"Median",0.234829684740305
-55,"Median",0.174479822347612
-45,"Median",0.123058399690683
-35,"Median",0.309913257790399
-25,"Median",0.253849669110408
-15,"Median",0.201359503525216
-5,"Median",0.137823807238402
5,"Median",0.0875475965507981
15,"Median",0.0225126491677423
25,"Median",-0.0359713206675939
35,"Median",-0.0905521746640871
45,"Median",0.0996788790633656
55,"Median",0.0486365115886298
65,"Median",0.0761040603158894
75,"Median",0.0355286232368313
85,"Median",0.148042238472645
95,"Median",0.171839648241215
105,"Median",0.116348012287928
115,"Median",0.0543673844563714
125,"Median",-0.00335746144584691
135,"Median",-0.0612791162348654
145,"Median",-0.0108033619193545
155,"Median",0.0785155059043357
165,"Median",0.0184143880510974
175,"Median",-0.0469667830116482
185,"Median",-0.103626442021149
195,"Median",-0.108517854453099
-195,"Avg",-0.00471107708483389
-185,"Avg",0.0517708611330688
-175,"Avg",0.0548445947239907
-165,"Avg",0.0253860854034927
-155,"Avg",0.041073424686657
-145,"Avg",-0.00393959991465252
-135,"Avg",0.0398555412809611
-125,"Avg",0.0251919378962604
-115,"Avg",0.0418525952172186
-105,"Avg",0.0127159786048775
-95,"Avg",0.110724394836977
-85,"Avg",0.144731312595585
-75,"Avg",0.140584310249132
-65,"Avg",0.19964240136819
-55,"Avg",0.223121053407829
-45,"Avg",0.190127395535714
-35,"Avg",0.214177529426223
-25,"Avg",0.157584810746284
-15,"Avg",0.0996930333113413
-5,"Avg",0.0373131753015218
5,"Avg",0.0716460908711091
15,"Avg",0.112142168125216
25,"Avg",0.065938902658646
35,"Avg",0.0202664173289237
45,"Avg",0.0417943558830359
55,"Avg",0.0560253563138894
65,"Avg",0.0465331706131939
75,"Avg",0.0458852167633355
85,"Avg",0.139331100915423
95,"Avg",0.137915308761067
105,"Avg",0.154026975344557
115,"Avg",0.110943126558572
125,"Avg",0.119165053845114
135,"Avg",0.0630554226905885
145,"Avg",0.0245238052639106
155,"Avg",0.0495387447162335
165,"Avg",0.0353797890764172
175,"Avg",-0.0458024615928324
185,"Avg",-0.0674393876532543
195,"Avg",-0.0781063714611401
-195,"Min",-0.314694438222991
-185,"Min",-0.260729374254186
-175,"Min",-0.21525196735534
-165,"Min",-0.169955675485052
-155,"Min",-0.11533944915596
-145,"Min",-0.0599334466490042
-135,"Min",-0.0112605344653315
-125,"Min",-0.289468232034332
-115,"Min",-0.348108173299653
-105,"Min",-0.404647774159431
