"position.disgap","Type","AccPedal"
-195,"Max",0.388
-185,"Max",0.365
-175,"Max",0.365
-165,"Max",0.353
-155,"Max",0.353
-145,"Max",0.353
-135,"Max",0.353
-125,"Max",0.353
-115,"Max",0.353
-105,"Max",0.353
-95,"Max",0.353
-85,"Max",0.353
-75,"Max",0.353
-65,"Max",0.353
-55,"Max",0.353
-45,"Max",0.353
-35,"Max",0.353
-25,"Max",0.353
-15,"Max",0.353
-5,"Max",0.353
5,"Max",0.353
15,"Max",0.353
25,"Max",0.353
35,"Max",0.353
45,"Max",0.353
55,"Max",0.353
65,"Max",0.353
75,"Max",0.353
85,"Max",0.353
95,"Max",0.353
105,"Max",0.353
115,"Max",0.353
125,"Max",0.353
135,"Max",0.353
145,"Max",0.353
155,"Max",0.353
165,"Max",0.353
175,"Max",0.353
185,"Max",0.365
195,"Max",0.365
-195,"P85",0.3742
-185,"P85",0.3506
-175,"P85",0.3434
-165,"P85",0.3386
-155,"P85",0.3386
-145,"P85",0.3386
-135,"P85",0.3386
-125,"P85",0.332
-115,"P85",0.332
-105,"P85",0.332
-95,"P85",0.332
-85,"P85",0.332
-75,"P85",0.332
-65,"P85",0.332
-55,"P85",0.332
-45,"P85",0.332
-35,"P85",0.332
-25,"P85",0.332
-15,"P85",0.332
-5,"P85",0.3386
5,"P85",0.3386
15,"P85",0.3386
25,"P85",0.3386
35,"P85",0.3458
45,"P85",0.3458
55,"P85",0.3458
65,"P85",0.3458
75,"P85",0.3386
85,"P85",0.3386
95,"P85",0.3386
105,"P85",0.3386
115,"P85",0.3386
125,"P85",0.3458
135,"P85",0.353
145,"P85",0.353
155,"P85",0.353
165,"P85",0.353
175,"P85",0.353
185,"P85",0.3578
195,"P85",0.3578
-195,"Median",0.341
-185,"Median",0.329
-175,"Median",0.329
-165,"Median",0.329
-155,"Median",0.329
-145,"Median",0.318
-135,"Median",0.318
-125,"Median",0.318
-115,"Median",0.318
-105,"Median",0.318
-95,"Median",0.318
-85,"Median",0.318
-75,"Median",0.318
-65,"Median",0.318
-55,"Median",0.318
-45,"Median",0.318
-35,"Median",0.318
-25,"Median",0.318
-15,"Median",0.318
-5,"Median",0.318
5,"Median",0.318
15,"Median",0.318
25,"Median",0.318
35,"Median",0.318
45,"Median",0.318
55,"Median",0.318
65,"Median",0.318
75,"Median",0.318
85,"Median",0.318
95,"Median",0.318
105,"Median",0.318
115,"Median",0.329
125,"Median",0.329
135,"Median",0.329
145,"Median",0.318
155,"Median",0.318
165,"Median",0.318
175,"Median",0.318
185,"Median",0.329
195,"Median",0.341
-195,"Avg",0.3434
-185,"Avg",0.3316
-175,"Avg",0.327
-165,"Avg",0.3246
-155,"Avg",0.3246
-145,"Avg",0.32
-135,"Avg",0.313
-125,"Avg",0.3108
-115,"Avg",0.3108
-105,"Avg",0.3108
-95,"Avg",0.3108
-85,"Avg",0.3108
-75,"Avg",0.3084
-65,"Avg",0.3108
-55,"Avg",0.3154
-45,"Avg",0.3154
-35,"Avg",0.3178
-25,"Avg",0.3202
-15,"Avg",0.3202
-5,"Avg",0.3224
5,"Avg",0.3224
15,"Avg",0.3224
25,"Avg",0.3224
35,"Avg",0.3248
45,"Avg",0.3248
55,"Avg",0.3248
65,"Avg",0.3248
75,"Avg",0.3224
85,"Avg",0.3224
95,"Avg",0.3224
105,"Avg",0.3224
115,"Avg",0.3246
125,"Avg",0.327
135,"Avg",0.3294
145,"Avg",0.3272
155,"Avg",0.3272
165,"Avg",0.3272
175,"Avg",0.3272
185,"Avg",0.3318
195,"Avg",0.3342
-195,"Min",0.294
-185,"Min",0.294
-175,"Min",0.294
-165,"Min",0.294
-155,"Min",0.294
-145,"Min",0.294
-135,"Min",0.271
-125,"Min",0.271
-115,"Min",0.271
-105,"Min",0.271
-95,"Min",0.271
-85,"Min",0.271
-75,"Min",0.259
-65,"Min",0.271
-55,"Min",0.294
-45,"Min",0.294
-35,"Min",0.294
-25,"Min",0.294
-15,"Min",0.294
-5,"Min",0.294
5,"Min",0.294
15,"Min",0.294
25,"Min",0.294
35,"Min",0.294
45,"Min",0.294
55,"Min",0.294
65,"Min",0.294
75,"Min",0.294
85,"Min",0.294
95,"Min",0.294
105,"Min",0.294
115,"Min",0.294
125,"Min",0.294
135,"Min",0.294
145,"Min",0.294
155,"Min",0.294
165,"Min",0.294
175,"Min",0.294
185,"Min",0.294
195,"Min",0.294
