"position.disgap","Type","Laneoffset"
-195,"Max",-0.443571428571429
-185,"Max",-0.408333333333333
-175,"Max",-0.411333333333333
-165,"Max",-0.467727272727273
-155,"Max",-0.531428571428571
-145,"Max",-0.564666666666667
-135,"Max",-0.608125
-125,"Max",-0.652666666666667
-115,"Max",-0.684782608695652
-105,"Max",-0.706153846153846
-95,"Max",-0.606666666666667
-85,"Max",-0.388571428571429
-75,"Max",-0.0668181818181818
-65,"Max",0.256818181818182
-55,"Max",0.560869565217391
-45,"Max",0.850909090909091
-35,"Max",1.24571428571429
-25,"Max",1.43
-15,"Max",1.21565217391304
-5,"Max",-0.7
5,"Max",-0.716190476190476
15,"Max",-0.73
25,"Max",-0.743846153846154
35,"Max",-0.783333333333333
45,"Max",-0.748333333333333
55,"Max",-0.751176470588235
65,"Max",-0.774444444444444
75,"Max",-0.796666666666667
85,"Max",-0.797619047619048
95,"Max",-0.767368421052632
105,"Max",1.76842105263158
115,"Max",1.493
125,"Max",1.15608695652174
135,"Max",0.855652173913043
145,"Max",0.592631578947368
155,"Max",0.34
165,"Max",0.177647058823529
175,"Max",0.006
185,"Max",-0.129285714285714
195,"Max",-0.215
-195,"P85",-0.448928571428571
-185,"P85",-0.450416666666667
-175,"P85",-0.463369047619048
-165,"P85",-0.495056818181818
-155,"P85",-0.55125
-145,"P85",-0.581166666666667
-135,"P85",-0.61703125
-125,"P85",-0.65602380952381
-115,"P85",-0.694695652173913
-105,"P85",-0.706275303643725
-95,"P85",-0.663297101449275
-85,"P85",-0.419642857142857
-75,"P85",-0.172329545454545
-65,"P85",0.141410427807487
-55,"P85",0.491779891304348
-45,"P85",0.834602272727273
-35,"P85",1.14718944099379
-25,"P85",1.38909090909091
-15,"P85",-0.232336956521739
-5,"P85",-0.731607142857143
5,"P85",-0.75245670995671
15,"P85",-0.746022727272727
25,"P85",-0.817747252747253
35,"P85",-0.783833333333333
45,"P85",-0.831401515151515
55,"P85",-0.841856617647059
65,"P85",-0.846111111111111
75,"P85",-0.858541666666667
85,"P85",-0.876035196687371
95,"P85",-0.880688259109312
105,"P85",-0.0783947368421052
115,"P85",-0.0496071428571428
125,"P85",0.0244384057971014
135,"P85",0.0407312252964427
145,"P85",-0.0677349624060151
155,"P85",-0.160625
165,"P85",-0.215153452685422
175,"P85",-0.257842105263158
185,"P85",-0.282738095238095
195,"P85",-0.294821428571429
-195,"Median",-0.745128676470588
-185,"Median",-0.795
-175,"Median",-0.812595238095238
-165,"Median",-0.797986425339366
-155,"Median",-0.767205882352941
-145,"Median",-0.795719298245614
-135,"Median",-0.855952380952381
-125,"Median",-0.891794871794872
-115,"Median",-0.885844155844156
-105,"Median",-0.82961038961039
-95,"Median",-0.757653846153846
-85,"Median",-0.798291666666667
-75,"Median",-0.845089285714286
-65,"Median",-0.882115942028985
-55,"Median",-0.897410256410256
-45,"Median",-0.898888888888889
-35,"Median",-0.859729166666667
-25,"Median",-0.790738636363636
-15,"Median",-0.816363636363636
-5,"Median",-0.9265
5,"Median",-0.874075
15,"Median",-0.885735294117647
25,"Median",-0.862595907928389
35,"Median",-0.868808333333333
45,"Median",-0.88875
55,"Median",-0.944047058823529
65,"Median",-0.980134803921569
75,"Median",-1.01726666666667
85,"Median",-1.06885897435897
95,"Median",-1.12063529411765
105,"Median",-0.985729166666667
115,"Median",-0.985153452685422
125,"Median",-0.936089743589744
135,"Median",-0.834533333333333
145,"Median",-0.826201923076923
155,"Median",-0.810714285714286
165,"Median",-0.8
175,"Median",-0.846666666666667
185,"Median",-0.883406593406593
195,"Median",-0.892451923076923
-195,"Avg",-0.839620814234785
-185,"Avg",-0.857236599953991
-175,"Avg",-0.872191197691198
-165,"Avg",-0.880415216000254
-155,"Avg",-0.89125116713352
-145,"Avg",-0.918215611492499
-135,"Avg",-0.954967081529582
-125,"Avg",-0.966225306094871
-115,"Avg",-0.943851214003388
-105,"Avg",-0.903520372171688
-95,"Avg",-0.856370726495727
-85,"Avg",-0.80188943001443
-75,"Avg",-0.734368833397724
-65,"Avg",-0.634223681831099
-55,"Avg",-0.512993808727504
-45,"Avg",-0.393912494510321
-35,"Avg",-0.258274111456177
-25,"Avg",-0.149850406236276
-15,"Avg",-0.657220245937637
-5,"Avg",-1.07229983060418
5,"Avg",-0.960647655122655
15,"Avg",-0.873839804696582
25,"Avg",-0.846278153680647
35,"Avg",-0.859322150997151
45,"Avg",-0.903070707070707
55,"Avg",-0.9557970821662
65,"Avg",-1.0091291097247
75,"Avg",-1.06257698412698
85,"Avg",-1.11676047623874
95,"Avg",-1.16601473366675
105,"Avg",-0.587793759237838
115,"Avg",-0.628737353581343
125,"Avg",-0.636276919537789
135,"Avg",-0.613248375054897
145,"Avg",-0.630021568343937
155,"Avg",-0.633885531135531
165,"Avg",-0.649263792473511
175,"Avg",-0.702127305443095
185,"Avg",-0.757832214082214
195,"Avg",-0.810343152218152
-195,"Min",-1.36318181818182
-185,"Min",-1.36826086956522
-175,"Min",-1.36636363636364
-165,"Min",-1.40636363636364
-155,"Min",-1.43380952380952
-145,"Min",-1.47652173913043
-135,"Min",-1.5125
-125,"Min",-1.49090909090909
-115,"Min",-1.41818181818182
-105,"Min",-1.33318181818182
-95,"Min",-1.27782608695652
-85,"Min",-1.25818181818182
-75,"Min",-1.22434782608696
-65,"Min",-1.22
-55,"Min",-1.18809523809524
-45,"Min",-1.21521739130435
-35,"Min",-1.21739130434783
-25,"Min",-1.18391304347826
-15,"Min",-1.69733333333333
-5,"Min",-1.6695652173913
5,"Min",-1.35166666666667
15,"Min",-1.02608695652174
25,"Min",-0.88625
35,"Min",-0.961538461538462
45,"Min",-1.1135
55,"Min",-1.242
65,"Min",-1.35272727272727
75,"Min",-1.47866666666667
85,"Min",-1.61214285714286
95,"Min",-1.78052631578947
105,"Min",-1.31615384615385
115,"Min",-1.40730769230769
125,"Min",-1.44307692307692
135,"Min",-1.3825
145,"Min",-1.29583333333333
155,"Min",-1.20038461538462
165,"Min",-1.14
175,"Min",-1.14230769230769
185,"Min",-1.17392857142857
195,"Min",-1.38111111111111
