"Position","Steering_max","Steering_85","Steering_median","Steering_mean","Steering_min","Driver_ID"
-65,0.004,0.004,0.004,0.004,0.004,"Driver05"
-55,0.004,0.004,0.004,0.00376190476190476,0.003,"Driver05"
-45,0.003,0.003,0.003,0.00259090909090909,0.001,"Driver05"
-35,0.001,0.001,0.001,0.001,0.001,"Driver05"
-25,0.001,0.001,0.001,0.001,0.001,"Driver05"
-15,0.001,0.001,0,0.000333333333333333,-0.001,"Driver05"
-5,-0.001,-0.001,-0.004,-0.00352380952380952,-0.005,"Driver05"
5,-0.004,-0.004,-0.004,-0.00422727272727273,-0.005,"Driver05"
15,0.001,0.001,-0.003,-0.00223809523809524,-0.004,"Driver05"
25,0.004,0.004,0.0025,0.00245454545454545,0.001,"Driver05"
35,0.004,0.004,0.004,0.004,0.004,"Driver05"
45,0.004,0.004,0.003,0.00331818181818182,0.003,"Driver05"
55,0.003,0.003,0.003,0.003,0.003,"Driver05"
65,0.005,0.005,0.003,0.00359090909090909,0.003,"Driver05"
75,0.006,0.006,0.006,0.00566666666666667,0.005,"Driver05"
85,0.005,0.004,0.001,0.00161904761904762,-0.001,"Driver05"
95,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver05"
105,0,0,-0.001,-0.000523809523809524,-0.001,"Driver05"
115,0,0,0,0,0,"Driver05"
125,0.003,0.003,0.002,0.00213636363636364,0,"Driver05"
135,0.002,0,0,0.00019047619047619,0,"Driver05"
145,0,0,0,0,0,"Driver05"
155,0,0,0,0,0,"Driver05"
165,0.001,0,0,4.54545454545455e-05,0,"Driver05"
175,0.001,0.001,0.001,0.001,0.001,"Driver05"
185,0.003,0.003,0.001,0.00154545454545455,0.001,"Driver05"
195,0.003,0.003,0.003,0.003,0.003,"Driver05"
