"position.disgap","Type","LateralAcc"
-195,"Max",-3.18910917889172e-05
-185,"Max",-1.69416276808412e-05
-175,"Max",0
-165,"Max",0
-155,"Max",0.00708601530288544
-145,"Max",0
-135,"Max",0
-125,"Max",0
-115,"Max",0
-105,"Max",-2.2050823486628e-06
-95,"Max",-1.53277022905176e-05
-85,"Max",0
-75,"Max",-2.80659624843898
-65,"Max",0.0015793344214352
-55,"Max",-4.13435960874864
-45,"Max",-1.07381421220511
-35,"Max",-2.18000059301043
-25,"Max",-1.97674844798119
-15,"Max",-1.60186444396243
-5,"Max",-0.0121948478871375
5,"Max",0
15,"Max",0.000991643991753235
25,"Max",0.13350028953684
35,"Max",0.000210661377877218
45,"Max",0.00746091167588959
55,"Max",0
65,"Max",0
75,"Max",0.00324058465466291
85,"Max",-3.61809158911149e-05
95,"Max",-0.000464906189938875
105,"Max",0
115,"Max",0.000758597451116957
125,"Max",0
135,"Max",0
145,"Max",0
155,"Max",0.000263363963098341
165,"Max",0.00705430229259332
175,"Max",0.000173255665714045
185,"Max",0
195,"Max",0
-195,"P85",-0.000119739771950044
-185,"P85",-0.000111984511989835
-175,"P85",0
-165,"P85",0
-155,"P85",0.00177150382572136
-145,"P85",0
-135,"P85",0
-125,"P85",0
-115,"P85",-0.00340567052842374
-105,"P85",-0.0051089749960766
-95,"P85",-0.00681497215455965
-85,"P85",-0.000225334314501513
-75,"P85",-5.64076244174028
-65,"P85",-0.337419848277551
-55,"P85",-4.46025043051419
-45,"P85",-1.37921905703134
-35,"P85",-3.56136577553908
-25,"P85",-2.08484858368205
-15,"P85",-2.79198670343797
-5,"P85",-2.34648926792334
5,"P85",0
15,"P85",0.000247910997938309
25,"P85",0.0334995464488456
35,"P85",5.26653444693046e-05
45,"P85",0.0018652279189724
55,"P85",0
65,"P85",0
75,"P85",0.000810146163665728
85,"P85",-0.00254262914617202
95,"P85",-0.00520358327659755
105,"P85",-0.00118871760704905
115,"P85",-0.00113903885333984
125,"P85",0
135,"P85",0
145,"P85",0
155,"P85",6.58409907745853e-05
165,"P85",0.00176357557314833
175,"P85",4.33019243658298e-05
185,"P85",0
195,"P85",-0.0150892830245007
-195,"Median",-0.00212990497827102
-185,"Median",-0.00338804031732578
-175,"Median",-0.0131806644206057
-165,"Median",-0.000812290633428515
-155,"Median",-0.00207794025270222
-145,"Median",-0.00227137071642785
-135,"Median",-1.00989244577538e-05
-125,"Median",-0.00170281489497663
-115,"Median",-0.00480133544450767
-105,"Median",-0.423053570418184
-95,"Median",-5.72986807402193
-85,"Median",-1.81752952810467
-75,"Median",-8.45541116646066
-65,"Median",-4.12008302627808
-55,"Median",-4.88388671022298
-45,"Median",-5.06182268322045
-35,"Median",-5.09366277724637
-25,"Median",-4.06100640554954
-15,"Median",-6.49467330265875
-5,"Median",-3.24818138710191
5,"Median",-0.02433883398564
15,"Median",0
25,"Median",0
35,"Median",-0.00163276107118656
45,"Median",-0.00164539159365212
55,"Median",0
65,"Median",-1.44020052249786e-08
75,"Median",-1.72730864861069
85,"Median",-5.98042606260662
95,"Median",-3.72749253755029
105,"Median",-4.65327119233626
115,"Median",-0.0426264992010686
125,"Median",-0.834100291663891
135,"Median",-0.0200313528419355
145,"Median",-0.01488574980606
155,"Median",-0.0618377519046927
165,"Median",-0.0164492409393305
175,"Median",-0.0127543815522861
185,"Median",-0.0300588484588976
195,"Median",-1.63560058954655
-195,"Avg",-2.7240519719045
-185,"Avg",-2.34940468304836
-175,"Avg",-0.702522332241934
-165,"Avg",-0.239258458176436
-155,"Avg",-1.21102867195575
-145,"Avg",-1.41893301643756
-135,"Avg",-0.00215097133219512
-125,"Avg",-0.00216803758944233
-115,"Avg",-0.327875348842448
-105,"Avg",-2.25796022071668
-95,"Avg",-5.7234247538735
-85,"Avg",-3.55474315465181
-75,"Avg",-8.48767822231937
-65,"Avg",-10.4645612244618
-55,"Avg",-9.72465706761369
-45,"Avg",-6.78224386537905
-35,"Avg",-5.48778901867821
-25,"Avg",-3.77479686785945
-15,"Avg",-6.29168260455054
-5,"Avg",-3.43990714598021
5,"Avg",-2.22699569835167
15,"Avg",-2.71099994211858
25,"Avg",-2.11726106461652
35,"Avg",-0.147009646426744
45,"Avg",-1.39310868217745
55,"Avg",-2.628771186625
65,"Avg",-2.94821285429304
75,"Avg",-3.28535349223848
85,"Avg",-5.81400415298775
95,"Avg",-4.73834358845066
105,"Avg",-5.04270750248154
115,"Avg",-2.29052002025121
125,"Avg",-2.11272783552549
135,"Avg",-1.33979618177687
145,"Avg",-1.36005886324803
155,"Avg",-1.76503364855942
165,"Avg",-2.07260246316071
175,"Avg",-0.0155998307635252
185,"Avg",-2.81635122219529
195,"Avg",-3.18117426523349
-195,"Min",-14.8481398937748
-185,"Min",-11.1252174095661
-175,"Min",-3.33054857656112
-165,"Min",-1.41053868123919
-155,"Min",-6.15075292214899
-145,"Min",-8.50146350024976
-135,"Min",-0.00681216738031629
