"Position","Speed_max","Speed_85","Speed_median","Speed_mean","Speed_min","Driver_ID"
-195,1.02318943988584,1.02313592579379,1.02283267927221,1.02268673174845,1.02211915804495,"Driver01"
-185,1.02211915804495,1.02176239743132,1.0214056368177,1.02154834106315,1.02104887620407,"Driver01"
-175,1.02104887620407,1.02104887620407,1.02033535497681,1.02049589725294,1.01997859436318,"Driver01"
-165,1.01997859436318,1.01997859436318,1.01926507313593,1.01943495914242,1.0189083125223,"Driver01"
-155,1.0189083125223,1.01855155190867,1.01855155190867,1.01834768870088,1.01783803068141,"Driver01"
-145,1.01783803068141,1.01748127006778,1.01748127006778,1.0172434296587,1.01676774884053,"Driver01"
-135,1.01676774884053,1.0164109882269,1.01605422761327,1.01617314781781,1.01569746699964,"Driver01"
-125,1.01534070638601,1.01534070638601,1.01498394577239,1.01496843444136,1.01462718515876,"Driver01"
-115,1.01427042454513,1.01402069211559,1.0139136639315,1.01376344893629,1.01320014270425,"Driver01"
-105,1.01320014270425,1.01320014270425,1.01284338209062,1.01274145048672,1.01212986086336,"Driver01"
-95,1.01212986086336,1.01177310024973,1.01177310024973,1.01149742159375,1.01070281840885,"Driver01"
-85,1.01105957902248,1.01070281840885,1.01034605779522,1.01029254370318,1.00963253656796,"Driver01"
-75,1.00963253656796,1.00957902247592,1.00891901534071,1.00904874647293,1.00856225472708,"Driver01"
-65,1.00820549411345,1.00820549411345,1.00784873349982,1.00776765154218,1.00713521227257,"Driver01"
-55,1.00713521227257,1.00677845165894,1.00642169104531,1.00645736710667,1.00606493043168,"Driver01"
-45,1.00570816981805,1.00570816981805,1.00535140920442,1.00521550039923,1.00463788797717,"Driver01"
-35,1.00463788797717,1.00428112736354,1.00392436674991,1.00390737814926,1.00321084552265,"Driver01"
-25,1.00321084552265,1.00315733143061,1.0024973242954,1.00264327181915,1.00214056368177,"Driver01"
-15,1.00214056368177,1.00214056368177,1.00142704245451,1.00164789426295,1.00107028184088,"Driver01"
-5,1.00107028184088,1.00107028184088,1.00071352122726,1.00066255542531,1.00035676061363,"Driver01"
5,1,1,0.999643239386372,0.999643239386372,0.999286478772744,"Driver01"
15,0.999286478772744,0.998929718159115,0.998572957545487,0.998623923347434,0.998216196931859,"Driver01"
25,0.998216196931859,0.99785943631823,0.997502675704602,0.997672561711092,0.997145915090974,"Driver01"
35,0.997145915090974,0.996789154477346,0.996432393863717,0.996529692212889,0.996075633250089,"Driver01"
45,0.996075633250089,0.995718872636461,0.995362112022833,0.995464043626726,0.995005351409205,"Driver01"
55,0.995005351409205,0.994648590795576,0.994291830181948,0.994356695748062,0.993578308954691,"Driver01"
65,0.993578308954691,0.993578308954691,0.993221548341063,0.993204559740414,0.992508027113807,"Driver01"
75,0.992508027113807,0.992508027113806,0.992151266500178,0.992089221176069,0.99179450588655,"Driver01"
85,0.991437745272922,0.991134498751338,0.991080984659294,0.990920442383161,0.990367463432037,"Driver01"
95,0.990367463432037,0.990367463432037,0.990010702818409,0.989864755294652,0.989297181591152,"Driver01"
105,0.989297181591152,0.988940420977524,0.988940420977524,0.988770534971034,0.988226899750268,"Driver01"
115,0.988226899750268,0.988173385658223,0.987691758829825,0.987691758829825,0.987156617909383,"Driver01"
125,0.987156617909383,0.986799857295755,0.986443096682126,0.986572827814355,0.986086336068498,"Driver01"
135,0.986086336068498,0.986086336068498,0.985372814841242,0.985542700847731,0.985016054227613,"Driver01"
145,0.985016054227613,0.984659293613985,0.984659293613985,0.984448480524114,0.983945772386728,"Driver01"
155,0.983945772386728,0.9835890117731,0.983232251159472,0.983329549508643,0.982875490545844,"Driver01"
165,0.982875490545844,0.982518729932216,0.982161969318587,0.982226834884702,0.981805208704959,"Driver01"
175,0.981805208704959,0.981448448091331,0.981091687477702,0.981142653279649,0.980734926864074,"Driver01"
185,0.980734926864074,0.980378166250446,0.980021405636818,0.980086271202932,0.97966464502319,"Driver01"
195,0.97966464502319,0.979307884409561,0.979129504102747,0.979048422145104,0.978594363182305,"Driver01"
-195,1.0309963099631,1.03062730627306,1.03007380073801,1.030040254948,1.02915129151292,"Driver02"
-185,1.02915129151292,1.02878228782288,1.02841328413284,1.02841328413284,1.02767527675277,"Driver02"
-175,1.02767527675277,1.02730627306273,1.02693726937269,1.02687017779269,1.02619926199262,"Driver02"
-165,1.02619926199262,1.02583025830258,1.02546125461255,1.02532068177825,1.02472324723247,"Driver02"
-155,1.02435424354244,1.02435424354244,1.02361623616236,1.02371687353237,1.02287822878229,"Driver02"
-145,1.02287822878229,1.02250922509225,1.02214022140221,1.02219293621508,1.02140221402214,"Driver02"
-135,1.02140221402214,1.0210332103321,1.02066420664207,1.02063066085206,1.01992619926199,"Driver02"
-125,1.01992619926199,1.01955719557196,1.01881918819188,1.01899566821755,1.01845018450185,"Driver02"
-115,1.01808118081181,1.01771217712177,1.01734317343173,1.01723774380601,1.01660516605166,"Driver02"
-105,1.01660516605166,1.01660516605166,1.01549815498155,1.01576172904586,1.01512915129151,"Driver02"
-95,1.01512915129151,1.01476014760148,1.01439114391144,1.01413955048641,1.01328413284133,"Driver02"
-85,1.01328413284133,1.01291512915129,1.01254612546125,1.01244069583553,1.01180811808118,"Driver02"
-75,1.01143911439114,1.01143911439114,1.01070110701107,1.01075142569608,1.009963099631,"Driver02"
-65,1.009963099631,1.00959409594096,1.00922509225092,1.00907413619591,1.00811808118081,"Driver02"
-55,1.00959409594096,1.00922509225092,1.00885608856089,1.00872773945131,1.00811808118081,"Driver02"
