"position.disgap","Type","AccPedal"
-195,"Max",0.353
-185,"Max",0.341
-175,"Max",0.318
-165,"Max",0.259
-155,"Max",0.235
-145,"Max",0.294
-135,"Max",0.365
-125,"Max",0.365
-115,"Max",0.365
-105,"Max",0.365
-95,"Max",0.365
-85,"Max",0.365
-75,"Max",0.365
-65,"Max",0.365
-55,"Max",0.365
-45,"Max",0.353
-35,"Max",0.341
-25,"Max",0.341
-15,"Max",0.341
-5,"Max",0.341
5,"Max",0.341
15,"Max",0.259
25,"Max",0.259
35,"Max",0.129
45,"Max",0.129
55,"Max",0.129
65,"Max",0.2
75,"Max",0.2
85,"Max",0.2
95,"Max",0.2
105,"Max",0.294
115,"Max",0.376
125,"Max",0.388
135,"Max",0.388
145,"Max",0.365
155,"Max",0.365
165,"Max",0.365
175,"Max",0.365
185,"Max",0.353
195,"Max",0.353
-195,"P85",0.24725
-185,"P85",0.24425
-175,"P85",0.2295
-165,"P85",0.21475
-155,"P85",0.20875
-145,"P85",0.24975
-135,"P85",0.2855
-125,"P85",0.2945
-115,"P85",0.2945
-105,"P85",0.2945
-95,"P85",0.2945
-85,"P85",0.30275
-75,"P85",0.30275
-65,"P85",0.30275
-55,"P85",0.30275
-45,"P85",0.29975
-35,"P85",0.2795
-25,"P85",0.2795
-15,"P85",0.2795
-5,"P85",0.2795
5,"P85",0.2795
15,"P85",0.21475
25,"P85",0.1615
35,"P85",0.12075
45,"P85",0.12075
55,"P85",0.129
65,"P85",0.14675
75,"P85",0.14675
85,"P85",0.14675
95,"P85",0.15575
105,"P85",0.2235
115,"P85",0.244
125,"P85",0.247
135,"P85",0.247
145,"P85",0.24125
155,"P85",0.24125
165,"P85",0.24125
175,"P85",0.24125
185,"P85",0.2735
195,"P85",0.2825
-195,"Median",0.1235
-185,"Median",0.1175
-175,"Median",0.141
-165,"Median",0.1355
-155,"Median",0.1295
-145,"Median",0.135
-135,"Median",0.141
-125,"Median",0.147
-115,"Median",0.147
-105,"Median",0.153
-95,"Median",0.147
-85,"Median",0.147
-75,"Median",0.1295
-65,"Median",0.1295
-55,"Median",0.1295
-45,"Median",0.1295
-35,"Median",0.1295
-25,"Median",0.1295
-15,"Median",0.1295
-5,"Median",0.1235
5,"Median",0.118
15,"Median",0.118
25,"Median",0.059
35,"Median",0.065
45,"Median",0.059
55,"Median",0.065
65,"Median",0.065
75,"Median",0.065
85,"Median",0.059
95,"Median",0.059
105,"Median",0.059
115,"Median",0.065
125,"Median",0.0825
135,"Median",0.0825
145,"Median",0.0825
155,"Median",0.053
165,"Median",0.053
175,"Median",0.059
185,"Median",0.153
195,"Median",0.153
-195,"Avg",0.153
-185,"Avg",0.147
-175,"Avg",0.151
-165,"Avg",0.139333333333333
-155,"Avg",0.133333333333333
-145,"Avg",0.150833333333333
-135,"Avg",0.168666666666667
-125,"Avg",0.172666666666667
-115,"Avg",0.172666666666667
-105,"Avg",0.174666666666667
-95,"Avg",0.172666666666667
-85,"Avg",0.1745
-75,"Avg",0.168666666666667
-65,"Avg",0.153
-55,"Avg",0.153
-45,"Avg",0.151
-35,"Avg",0.145166666666667
-25,"Avg",0.145166666666667
-15,"Avg",0.145166666666667
-5,"Avg",0.143166666666667
5,"Avg",0.141333333333333
15,"Avg",0.117833333333333
25,"Avg",0.0843333333333333
35,"Avg",0.0628333333333333
45,"Avg",0.0608333333333333
55,"Avg",0.0646666666666667
65,"Avg",0.0765
75,"Avg",0.0765
85,"Avg",0.0765
95,"Avg",0.0863333333333333
105,"Avg",0.102
115,"Avg",0.117666666666667
125,"Avg",0.1255
135,"Avg",0.1255
145,"Avg",0.121666666666667
155,"Avg",0.111833333333333
165,"Avg",0.111833333333333
175,"Avg",0.113833333333333
185,"Avg",0.151
195,"Avg",0.153
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
