"position.disgap","Type","MinLongitudinalSpeed"
-195,"Max",100.664920798636
-185,"Max",100.724693983243
-175,"Max",100.73458470883
-165,"Max",100.803737296038
-155,"Max",100.872494584177
-145,"Max",100.907051139352
-135,"Max",100.987390651936
-125,"Max",101.046000541752
-115,"Max",101.114095559164
-105,"Max",101.166196231013
-95,"Max",101.203679020642
-85,"Max",101.271057025183
-75,"Max",101.33849960894
-65,"Max",101.381436760527
-55,"Max",101.445321240525
-45,"Max",101.521717964247
-35,"Max",101.593458634247
-25,"Max",101.653351550898
-15,"Max",101.736409195691
-5,"Max",101.817382290898
5,"Max",101.885844929852
15,"Max",101.906458687294
25,"Max",101.973413915559
35,"Max",102.026474134294
45,"Max",102.059106198891
55,"Max",102.092326835706
65,"Max",102.122033203246
75,"Max",102.136784149818
85,"Max",102.165991430444
95,"Max",102.168003823131
105,"Max",102.178236500369
115,"Max",102.176893599348
125,"Max",102.171674054168
135,"Max",102.165182206372
145,"Max",102.13106056628
155,"Max",102.103947940707
165,"Max",102.090948443037
175,"Max",102.03048322231
185,"Max",101.984607386874
195,"Max",101.911949607422
-195,"P85",99.1772113180709
-185,"P85",99.2454276978296
-175,"P85",99.277494944995
-165,"P85",99.3750293341013
-155,"P85",99.4678808725916
-145,"P85",99.548999526157
-135,"P85",99.638605815303
-125,"P85",99.7844753932369
-115,"P85",99.9230579471823
-105,"P85",100.054856965182
-95,"P85",100.190453842346
-85,"P85",100.323512901949
-75,"P85",100.491245869604
-65,"P85",100.647709643105
-55,"P85",100.814454900763
-45,"P85",100.964771370123
-35,"P85",101.075770310942
-25,"P85",101.185193756962
-15,"P85",101.315366846459
-5,"P85",101.412645616836
5,"P85",101.497019406806
15,"P85",101.567465845653
25,"P85",101.639261645895
35,"P85",101.70962776395
45,"P85",101.763431475684
55,"P85",101.801687200866
65,"P85",101.850741002715
75,"P85",101.878185147283
85,"P85",101.927099687095
95,"P85",101.955254078195
105,"P85",101.992124617407
115,"P85",102.012414955414
125,"P85",102.031694556994
135,"P85",102.038546778003
145,"P85",102.017304605054
155,"P85",101.998627467428
165,"P85",101.968490929429
175,"P85",101.909319649661
185,"P85",101.875632292179
195,"P85",101.822054419025
-195,"Median",98.1821318722753
-185,"Median",98.2205692130199
-175,"Median",98.295569668963
-165,"Median",98.3833416869873
-155,"Median",98.4722133649519
-145,"Median",98.5940624006441
-135,"Median",98.7264733819382
-125,"Median",98.8249865607016
-115,"Median",98.935444145907
-105,"Median",99.0454280354168
-95,"Median",99.1462934957965
-85,"Median",99.2647337371039
-75,"Median",99.3526828649192
-65,"Median",99.4890808559606
-55,"Median",99.5915271937829
-45,"Median",99.6935933827704
-35,"Median",99.8082182956108
-25,"Median",99.9483566173293
-15,"Median",100.041476979346
-5,"Median",100.173143320473
5,"Median",100.284152846868
15,"Median",100.370254872521
25,"Median",100.482750785477
35,"Median",100.569276783617
45,"Median",100.662729453658
55,"Median",100.73277556146
65,"Median",100.813733254353
75,"Median",100.891382751911
85,"Median",100.960617991875
95,"Median",101.013473264735
105,"Median",101.084260299441
115,"Median",101.146178820487
125,"Median",101.160573290612
135,"Median",101.174574066626
145,"Median",101.205669039795
155,"Median",101.2278949423
165,"Median",101.262861473103
175,"Median",101.284501008794
185,"Median",101.289621587737
195,"Median",101.277016138566
-195,"Avg",98.0505626533368
-185,"Avg",98.1229595950961
-175,"Avg",98.1914050889077
-165,"Avg",98.2843831163152
-155,"Avg",98.3788420108908
-145,"Avg",98.4649292655899
-135,"Avg",98.566317401834
-125,"Avg",98.6809013010968
-115,"Avg",98.7969302556594
-105,"Avg",98.9147044929431
-95,"Avg",99.0244034180369
-85,"Avg",99.1446674498889
-75,"Avg",99.2716557640297
-65,"Avg",99.4062204313324
-55,"Avg",99.5299413566974
-45,"Avg",99.6526127491826
-35,"Avg",99.7740738416703
-25,"Avg",99.8829399054151
-15,"Avg",100.011322277597
-5,"Avg",100.125080033992
5,"Avg",100.228209462622
15,"Avg",100.311452936803
25,"Avg",100.401798113269
35,"Avg",100.486860893987
45,"Avg",100.564048864917
55,"Avg",100.628728560992
65,"Avg",100.703160793
75,"Avg",100.756302994949
85,"Avg",100.821212431907
95,"Avg",100.870602968218
105,"Avg",100.924097762551
115,"Avg",100.969661200158
125,"Avg",100.999380195199
135,"Avg",101.025273761478
145,"Avg",101.039504801842
155,"Avg",101.052645678952
165,"Avg",101.061208189579
175,"Avg",101.053187031508
185,"Avg",101.053244863471
195,"Avg",101.032982054153
-195,"Min",95.9994170516517
-185,"Min",96.12210891563
-175,"Min",96.2655465692107
-165,"Min",96.3877664500999
-155,"Min",96.5220704414686
-145,"Min",96.6222518058835
-135,"Min",96.7683115344045
-125,"Min",96.881202875281
-115,"Min",97.0129736385029
-105,"Min",97.1613338837514
-95,"Min",97.2768168920833
-85,"Min",97.4170769452841
-75,"Min",97.5640267318256
-65,"Min",97.713409637084
-55,"Min",97.8346570951975
-45,"Min",97.9672447333051
-35,"Min",98.1472321708329
-25,"Min",98.2612389718673
-15,"Min",98.4289377414321
-5,"Min",98.575724970224
5,"Min",98.7146036248486
15,"Min",98.8383864332736
25,"Min",98.9658257855097
35,"Min",99.0719813353672
45,"Min",99.2053503817147
55,"Min",99.313728515795
65,"Min",99.4290081104565
75,"Min",99.5232049083778
85,"Min",99.5885640669246
95,"Min",99.6458667061667
105,"Min",99.6837749454543
115,"Min",99.7359414727635
125,"Min",99.764273974435
135,"Min",99.7875310528525
145,"Min",99.8054370682059
155,"Min",99.8299646983107
165,"Min",99.8259447319219
175,"Min",99.8314699811977
185,"Min",99.8364728287856
195,"Min",99.8271886057294
