"position.disgap","Type","MinLateralSpeed"
-195,"Max",0.278062319575274
-185,"Max",0.22665961257599
-175,"Max",0.173765483321932
-165,"Max",0.117088245547331
-155,"Max",0.0604900782119346
-145,"Max",0.00400828079138858
-135,"Max",-0.0235587594077972
-125,"Max",0.0321817734476541
-115,"Max",0.0884581282952303
-105,"Max",0.144631733723073
-95,"Max",0.211649009760198
-85,"Max",0.270681179557733
-75,"Max",0.337333851610049
-65,"Max",0.161562260615672
-55,"Max",0.19976396394562
-45,"Max",0.258650094707058
-35,"Max",0.28792248180692
-25,"Max",0.28310495768114
-15,"Max",0.07927201135224
-5,"Max",0.107978157249338
5,"Max",0.162254452438345
15,"Max",0.245266491081479
25,"Max",0.0429499726283605
35,"Max",0.0706360164175167
45,"Max",0.154715231263155
55,"Max",0.210510490169074
65,"Max",0.289344510480556
75,"Max",0.321997004000376
85,"Max",0.145279548666873
95,"Max",0.175669736252869
105,"Max",0.159934296231023
115,"Max",0.217889290483071
125,"Max",0.0627543955999866
135,"Max",0.0653597960354378
145,"Max",0.118371205298645
155,"Max",0.17395339384257
165,"Max",0.225462509280516
175,"Max",0.0838260549017227
185,"Max",0.0888535927360024
195,"Max",-0.21548287993054
-195,"P85",0.140794488798522
-185,"P85",0.2246694712961
-175,"P85",0.171980256056533
-165,"P85",0.115880127639381
-155,"P85",0.0598587312543949
-145,"P85",0.00396757641033629
-135,"P85",-0.0236959879431599
-125,"P85",0.0318592531653215
-115,"P85",0.0875771903513925
-105,"P85",0.143229453816242
-95,"P85",0.205081041967369
-85,"P85",0.262274427077484
-75,"P85",0.332745345840686
-65,"P85",0.149128403494688
-55,"P85",0.192706291547676
-45,"P85",0.249598873600201
-35,"P85",0.276791019514334
-25,"P85",0.146264352651173
-15,"P85",0.0647301924442841
-5,"P85",0.107338206179841
5,"P85",0.0407127561585027
15,"P85",0.0907222681740948
25,"P85",0.0262950523156653
35,"P85",0.0703430696009532
45,"P85",0.153390663265436
55,"P85",0.208566525622707
65,"P85",0.275500827806237
75,"P85",0.318753671233015
85,"P85",0.130095943205693
95,"P85",0.173878236903943
105,"P85",0.155964759787173
115,"P85",0.195848061109727
125,"P85",0.029524781129523
135,"P85",0.0637872642351601
145,"P85",0.117968048943338
155,"P85",0.172238750575087
165,"P85",0.0914578308882295
175,"P85",0.0522015513604863
185,"P85",0.0867958078479312
195,"P85",-0.217390569835836
-195,"Median",0.0229227870056215
-185,"Median",-0.00661134454313959
-175,"Median",0.168498346575747
-165,"Median",0.113656775997092
-155,"Median",0.0587906209112745
-145,"Median",0.00389978773539832
-135,"Median",-0.024205204148845
-125,"Median",-0.171234735148677
-115,"Median",-0.171219361942962
-105,"Median",-0.117599880738974
-95,"Median",0.197413305302299
-85,"Median",0.253935447327577
-75,"Median",0.31267665349782
-65,"Median",0.132409106523767
-55,"Median",0.186519285159092
-45,"Median",0.241646444172243
-35,"Median",-0.0314056526871704
-25,"Median",-0.00357960917128864
-15,"Median",0.0521999852076311
-5,"Median",-0.130703931660536
5,"Median",-0.0948601653407806
15,"Median",-0.0131263713402123
25,"Median",-0.2144476526013
35,"Median",-0.186621123655638
45,"Median",-0.0746531871503318
55,"Median",-0.124527064747189
65,"Median",-0.297632414339529
75,"Median",-0.297287002402327
85,"Median",0.014660203823396
95,"Median",0.101875271851059
105,"Median",0.150642022797109
115,"Median",-0.0477719229192476
125,"Median",0.00703109000234926
135,"Median",0.0623617074736144
145,"Median",0.116520822247338
155,"Median",-0.0531929310137221
165,"Median",0.00210905171014675
175,"Median",0.029907010493059
185,"Median",0.0849466360097547
195,"Median",-0.21989230213579
-195,"Avg",0.0786550016996323
-185,"Avg",0.0744625472146961
-175,"Avg",0.0653585171334346
-165,"Avg",0.00890313015845478
-155,"Avg",-0.0475144462304552
-145,"Avg",-0.103869827085935
-135,"Avg",-0.132034073806454
-125,"Avg",-0.116157804712147
-115,"Avg",-0.0708092167121008
-105,"Avg",-0.0228261309403459
-95,"Avg",0.0263761360310257
-85,"Avg",0.0882873967154089
-75,"Avg",0.155444814661746
-65,"Avg",0.114665227827921
-55,"Avg",0.123406340455322
-45,"Avg",0.102809110523944
-35,"Avg",0.076015614099484
-25,"Avg",0.0654631757159236
-15,"Avg",-0.0285147126999214
-5,"Avg",-0.0434562918845013
5,"Avg",-0.0744012077316923
15,"Avg",-0.0584369400524729
25,"Avg",-0.134716101309949
35,"Avg",-0.111630356389107
45,"Avg",-0.038930428282807
55,"Avg",-0.0552234711956297
65,"Avg",-0.0874704839285894
75,"Avg",-0.0538544080325732
85,"Avg",-0.0407992180387532
95,"Avg",0.0666779022521885
105,"Avg",0.056926966034184
115,"Avg",0.0509729295521974
125,"Avg",0.0182163283101753
135,"Avg",0.0627779295092555
145,"Avg",0.0321509354299997
155,"Avg",0.0254720231675469
165,"Avg",0.0355541988987061
175,"Avg",0.0407848144156319
185,"Avg",0.0635163543532567
195,"Avg",-0.275029872498655
-195,"Min",0.0212750684668742
-185,"Min",-0.0368484214948042
-175,"Min",-0.0965100475230816
-165,"Min",-0.1560359936994
-155,"Min",-0.215438735272558
-145,"Min",-0.274789787660705
-135,"Min",-0.304477867986066
-125,"Min",-0.244722254450436
-115,"Min",-0.185130850181701
-105,"Min",-0.157868993779011
-95,"Min",-0.415832796566257
-85,"Min",-0.361026311436619
-75,"Min",-0.278833298424006
-65,"Min",0.00702375825460775
-55,"Min",-0.14364539320964
-45,"Min",-0.143586059276697
-35,"Min",-0.0862296531785157
-25,"Min",-0.00363298774636222
-15,"Min",-0.177506727372808
-5,"Min",-0.151543700672191
5,"Min",-0.297835162599072
15,"Min",-0.270064186201546
25,"Min",-0.291924184747603
35,"Min",-0.263942391179964
45,"Min",-0.21905794666793
55,"Min",-0.408935976468735
65,"Min",-0.353103143798971
75,"Min",-0.312899664396873
85,"Min",-0.242192667728282
95,"Min",-0.186167716441073
105,"Min",-0.103239348627723
115,"Min",-0.0483427203845908
125,"Min",0.00694585369949862
135,"Min",0.0615944807644953
145,"Min",-0.107141451942208
155,"Min",-0.0846914573493158
165,"Min",-0.0267286787000561
175,"Min",0.0293392611124485
185,"Min",-0.0254402056532429
195,"Min",-0.49235923871241
