"position.disgap","Type","MedianLongitudinalSpeed"
-195,"Max",92.78687879263
-185,"Max",92.7257826232337
-175,"Max",92.6857029702606
-165,"Max",92.6024197191844
-155,"Max",92.487494608759
-145,"Max",92.0564101359771
-135,"Max",91.5264385471627
-125,"Max",90.9875131110467
-115,"Max",90.4871468332779
-105,"Max",89.985892371012
-95,"Max",89.4828748379492
-85,"Max",88.9170082783578
-75,"Max",88.3671916928968
-65,"Max",87.9120335821949
-55,"Max",87.3194134558704
-45,"Max",86.8226052759302
-35,"Max",86.3399822264778
-25,"Max",85.8431240432326
-15,"Max",85.2413057260619
-5,"Max",84.5744111444892
5,"Max",84.103347911424
15,"Max",83.6703428087514
25,"Max",84.4931301264254
35,"Max",85.2839271728535
45,"Max",85.21010908237
55,"Max",85.1048396011693
65,"Max",84.9240173144347
75,"Max",84.7086178752686
85,"Max",84.560893079436
95,"Max",84.3070913117824
105,"Max",84.0559072369134
115,"Max",83.7154461249863
125,"Max",83.2410721933276
135,"Max",82.6809194170861
145,"Max",82.2871278307297
155,"Max",81.7246215074111
165,"Max",81.2116391292435
175,"Max",80.7790970595705
185,"Max",80.190488154503
195,"Max",79.6212050402337
-195,"P85",83.5975992627701
-185,"P85",83.2789326630751
-175,"P85",83.3618524619898
-165,"P85",83.4631606169482
-155,"P85",83.4856802557816
-145,"P85",83.245760638524
-135,"P85",82.754110139255
-125,"P85",82.4201826553276
-115,"P85",82.0206516997429
-105,"P85",81.5176942674905
-95,"P85",80.5692314751548
-85,"P85",79.6602240674393
-75,"P85",78.4449211484331
-65,"P85",77.6029006973941
-55,"P85",78.0701752772598
-45,"P85",78.9414442084089
-35,"P85",79.8846224576131
-25,"P85",80.6538929624651
-15,"P85",81.4575342837452
-5,"P85",82.1617704159633
5,"P85",82.8822060671879
15,"P85",83.5303989030898
25,"P85",83.5477178012471
35,"P85",83.3420424868804
45,"P85",82.943738869493
55,"P85",82.5932324065589
65,"P85",82.2222786552963
75,"P85",81.7901420031147
85,"P85",81.4034843192979
95,"P85",81.0181482161975
105,"P85",80.6073649798573
115,"P85",80.1552365359912
125,"P85",79.7798865128536
135,"P85",79.3009450350584
145,"P85",78.9210522718354
155,"P85",78.4736771784265
165,"P85",78.0509975013138
175,"P85",77.6228652594928
185,"P85",77.1799334709145
195,"P85",76.7137107266768
-195,"Median",80.0797417044957
-185,"Median",79.9584975506497
-175,"Median",79.6006269605487
-165,"Median",78.4945022049887
-155,"Median",77.5161439638754
-145,"Median",77.3184056248533
-135,"Median",77.0351622905842
-125,"Median",76.5748859719189
