"position.disgap","Type","MaxLongitudinalSpeed"
-195,"Max",102.636225159601
-185,"Max",102.132226291673
-175,"Max",101.624775653439
-165,"Max",101.08863892689
-155,"Max",100.584313589696
-145,"Max",100.080781374357
-135,"Max",99.5410981101314
-125,"Max",99.0721614624128
-115,"Max",98.5301724730421
-105,"Max",98.0267932295212
-95,"Max",97.5210216635571
-85,"Max",96.9840581220277
-75,"Max",96.51632697928
-65,"Max",96.3141923087849
-55,"Max",96.4389187545829
-45,"Max",96.5523825649035
-35,"Max",96.653216714865
-25,"Max",96.8236698157946
-15,"Max",96.9141279828731
-5,"Max",96.9892174752973
5,"Max",97.0848476737693
15,"Max",97.2098094501485
25,"Max",97.2962358440562
35,"Max",97.2637039095445
45,"Max",96.9869473858202
55,"Max",96.594206859477
65,"Max",96.1971244148306
75,"Max",95.838041436502
85,"Max",95.4804306859802
95,"Max",95.0788031132994
105,"Max",94.7442907917136
115,"Max",94.3316860847772
125,"Max",93.960146647742
135,"Max",93.576087883776
145,"Max",93.2662401159439
155,"Max",92.8787146746881
165,"Max",92.4887948638215
175,"Max",92.0647263904489
185,"Max",91.7082000193817
195,"Max",91.311004127989
-195,"P85",96.7234702782371
-185,"P85",96.7320602156059
-175,"P85",96.737957350396
-165,"P85",96.6877344085291
-155,"P85",96.589262220416
-145,"P85",96.5156598481223
-135,"P85",96.4328541621326
-125,"P85",96.3991202970924
-115,"P85",96.3722732787874
-105,"P85",96.3261754664129
-95,"P85",96.3125112720547
-85,"P85",96.2861135564528
-75,"P85",96.2448200291602
-65,"P85",96.0582336385442
-55,"P85",95.7137485654671
-45,"P85",95.3646059133776
-35,"P85",95.0113232884953
-25,"P85",94.6763349565662
-15,"P85",94.2922510458757
-5,"P85",93.9328488668878
5,"P85",93.9322222158372
15,"P85",94.0194624656253
25,"P85",93.8811398647657
35,"P85",93.6082227145024
45,"P85",93.2409855843374
55,"P85",92.8433008175438
65,"P85",92.4492242428851
75,"P85",92.078191659738
85,"P85",91.6723579828439
95,"P85",91.3024952821534
105,"P85",90.9489870928917
115,"P85",90.5719223947626
125,"P85",90.1206180432729
135,"P85",89.8074263384731
145,"P85",89.373955958964
155,"P85",89.0243755941403
165,"P85",88.6339935059634
175,"P85",88.2511399549362
185,"P85",87.8879199195622
195,"P85",87.8720273207264
-195,"Median",91.2423344147947
-185,"Median",91.0441450441608
-175,"Median",90.7921627828184
-165,"Median",90.6667615467311
-155,"Median",90.6124230764521
-145,"Median",90.5224003608631
-135,"Median",90.6124765120386
-125,"Median",90.7536741829581
-115,"Median",90.9730809313622
-105,"Median",91.242789597044
-95,"Median",91.454073988333
-85,"Median",91.6592117566205
-75,"Median",91.8398148820199
-65,"Median",91.8948567582056
-55,"Median",91.8194641715869
-45,"Median",91.7263216772158
-35,"Median",91.6696268329385
-25,"Median",91.5586958981835
-15,"Median",91.4580685507737
-5,"Median",91.4030521790758
5,"Median",91.0688909112377
15,"Median",90.551604165433
25,"Median",90.0846018568558
35,"Median",89.5987324406341
45,"Median",88.8886561881613
55,"Median",88.1611880502282
65,"Median",87.3577657315925
75,"Median",86.3160539439078
85,"Median",85.6465205454396
95,"Median",85.1573226068182
105,"Median",84.6948823499683
115,"Median",84.2168565363122
125,"Median",83.7601467537649
135,"Median",83.432101939011
145,"Median",83.4457329505339
155,"Median",83.4409441324911
165,"Median",83.7796604743229
175,"Median",84.425307295601
185,"Median",85.0018339104309
195,"Median",85.6170642261734
-195,"Avg",90.8161110379578
-185,"Avg",90.6659968075576
-175,"Avg",90.4971140442365
-165,"Avg",90.3186563628736
-155,"Avg",90.1506192362304
-145,"Avg",89.9758251928945
-135,"Avg",89.8494904340803
-125,"Avg",89.7588744472062
-115,"Avg",89.6943707235457
-105,"Avg",89.6400083868153
-95,"Avg",89.5733014606758
-85,"Avg",89.4978590173884
-75,"Avg",89.4304073370579
-65,"Avg",89.3136591290631
-55,"Avg",89.1596306767235
-45,"Avg",89.0156149170863
-35,"Avg",88.8814353475479
-25,"Avg",88.7411105650477
-15,"Avg",88.5900549458697
-5,"Avg",88.4522479320904
5,"Avg",88.2975049325732
15,"Avg",88.0980194992435
25,"Avg",87.8543096344328
35,"Avg",87.5514953668541
