"position.disgap","Type","AvgLongitudinalSpeed"
-195,"Max",100.702753074394
-185,"Max",100.737821762202
-175,"Max",100.776902018087
-165,"Max",100.829894044536
-155,"Max",100.888855751435
-145,"Max",100.94704610513
-135,"Max",101.00875100041
-125,"Max",101.067062126438
-115,"Max",101.135109884094
-105,"Max",101.183838792951
-95,"Max",101.250102126676
-85,"Max",101.295898165995
-75,"Max",101.364429482538
-65,"Max",101.427365689349
-55,"Max",101.494549752858
-45,"Max",101.563426430336
-35,"Max",101.633022442982
-25,"Max",101.703512971163
-15,"Max",101.776945598148
-5,"Max",101.83593196769
5,"Max",101.903925659217
15,"Max",101.952160784161
25,"Max",102.003615986287
35,"Max",102.049114731369
45,"Max",102.082356553593
55,"Max",102.118193709351
65,"Max",102.140734019402
75,"Max",102.163528850124
85,"Max",102.181145666698
95,"Max",102.189997700665
105,"Max",102.1932011882
115,"Max",102.194002367047
125,"Max",102.1887937557
135,"Max",102.179834996988
145,"Max",102.157645857672
155,"Max",102.133098455585
165,"Max",102.107300982085
175,"Max",102.06866377712
185,"Max",102.024340984919
195,"Max",101.957180260696
-195,"P85",99.2096688573925
-185,"P85",99.2651426814388
-175,"P85",99.3361921952124
-165,"P85",99.4215900673763
-155,"P85",99.506390535782
-145,"P85",99.5892033649635
-135,"P85",99.7122190869011
-125,"P85",99.8461405819978
-115,"P85",99.989567013273
-105,"P85",100.128511511008
-95,"P85",100.265192226572
-85,"P85",100.408440877623
-75,"P85",100.569652866339
-65,"P85",100.739703752968
-55,"P85",100.884212344453
-45,"P85",101.026480431287
-35,"P85",101.13549574736
-25,"P85",101.246334223401
-15,"P85",101.360326102864
-5,"P85",101.460934586083
5,"P85",101.534031986892
15,"P85",101.612860344339
25,"P85",101.684677357804
35,"P85",101.742754793942
45,"P85",101.789892447573
55,"P85",101.833985000881
65,"P85",101.873534289187
75,"P85",101.91234721269
85,"P85",101.952507281252
95,"P85",101.990881610224
105,"P85",102.013741535437
115,"P85",102.039836876684
125,"P85",102.050433868793
135,"P85",102.049753823134
145,"P85",102.033123499238
155,"P85",102.014043946008
165,"P85",101.986632458427
175,"P85",101.946444419194
185,"P85",101.904973648136
195,"P85",101.847386139363
-195,"Median",98.2105435872694
-185,"Median",98.2681702320569
-175,"Median",98.3492121356856
-165,"Median",98.432540431307
-155,"Median",98.5258325467152
-145,"Median",98.6671862385104
-135,"Median",98.7855068864713
-125,"Median",98.8825650662904
-115,"Median",98.9866385441197
-105,"Median",99.0872801544746
-95,"Median",99.1989266198103
-85,"Median",99.3100698263381
-75,"Median",99.4111600235504
-65,"Median",99.5294151527365
-55,"Median",99.6535148352066
-45,"Median",99.7640333034716
-35,"Median",99.8821826619171
-25,"Median",99.9956712185374
-15,"Median",100.10682998489
-5,"Median",100.227512047719
5,"Median",100.329141171613
15,"Median",100.429930040837
25,"Median",100.523427539748
35,"Median",100.606879210814
45,"Median",100.700295385054
55,"Median",100.778445885044
65,"Median",100.865348617687
75,"Median",100.927636699177
85,"Median",100.993856516747
95,"Median",101.047182199435
105,"Median",101.123104311195
115,"Median",101.15040172632
125,"Median",101.166956713533
135,"Median",101.203521611401
145,"Median",101.232142097119
155,"Median",101.25971693402
165,"Median",101.28541630596
175,"Median",101.30525261678
185,"Median",101.306622853303
195,"Median",101.294649301364
-195,"Avg",98.0931843698254
-185,"Avg",98.1642585496992
-175,"Avg",98.2422320693356
-165,"Avg",98.3309890802355
-155,"Avg",98.4185284052079
-145,"Avg",98.5192760778196
-135,"Avg",98.6248177280312
-125,"Avg",98.7375183708166
-115,"Avg",98.8592143763777
-105,"Avg",98.9726281539058
-95,"Avg",99.0901798740963
-85,"Avg",99.20758360706
-75,"Avg",99.3370084926513
-65,"Avg",99.4710984271496
-55,"Avg",99.5950336333027
-45,"Avg",99.7198817336666
-35,"Avg",99.8327434867588
-25,"Avg",99.9442273589612
-15,"Avg",100.063295804897
-5,"Avg",100.170511760203
5,"Avg",100.265658302352
15,"Avg",100.362221824152
25,"Avg",100.444579095823
35,"Avg",100.52621333612
45,"Avg",100.600263971733
55,"Avg",100.666942380612
65,"Avg",100.739706658503
75,"Avg",100.794141938416
85,"Avg",100.851421757603
95,"Avg",100.907386694073
105,"Avg",100.953270814858
115,"Avg",100.99272400199
125,"Avg",101.020127830168
135,"Avg",101.04629004581
145,"Avg",101.06294169637
155,"Avg",101.07696494018
165,"Avg",101.084868318146
175,"Avg",101.083434009913
185,"Avg",101.07566944329
195,"Avg",101.056367025629
-195,"Min",96.0779532129604
-185,"Min",96.2036446014461
-175,"Min",96.3230193764609
-165,"Min",96.4474663668654
-155,"Min",96.5730808812676
-145,"Min",96.7028118307795
-135,"Min",96.8270428561782
-125,"Min",96.9594966208041
-115,"Min",97.0954119978536
-105,"Min",97.2187875101596
-95,"Min",97.357876771752
-85,"Min",97.486796182168
-75,"Min",97.6322067138876
-65,"Min",97.7804002190564
-55,"Min",97.9153961813496
-45,"Min",98.0620264164028
-35,"Min",98.1959338908872
-25,"Min",98.3367004067147
-15,"Min",98.4964880580458
-5,"Min",98.6320775218124
5,"Min",98.768164562008
15,"Min",98.9062441201697
25,"Min",99.0138078633509
35,"Min",99.1366438124165
45,"Min",99.2558032757147
55,"Min",99.3684034641435
65,"Min",99.4801164949082
75,"Min",99.5549661829346
85,"Min",99.6151404392084
95,"Min",99.6770648762478
105,"Min",99.7067017546116
115,"Min",99.74705778506
125,"Min",99.7798638598104
135,"Min",99.8041544376717
145,"Min",99.8246947739054
155,"Min",99.8429814154533
165,"Min",99.8501058205698
175,"Min",99.8536896210051
185,"Min",99.8491617193427
195,"Min",99.8420374723261
