"position.disgap","Type","Steering"
85,"Min",-0.00172222222222222
95,"Min",-0.00292857142857143
105,"Min",-0.00366666666666667
115,"Min",-0.00123529411764706
125,"Min",-0.00835
135,"Min",-0.00488235294117647
145,"Min",-0.00778947368421053
155,"Min",-5.55555555555555e-05
165,"Min",0.00205882352941176
175,"Min",0.003
185,"Min",0.00238888888888889
195,"Min",0.00589473684210526
