"position.disgap","Type","MedianLongitudinalSpeed"
-195,"Max",100.698690729592
-185,"Max",100.738196371046
-175,"Max",100.769210363017
-165,"Max",100.838165404268
-155,"Max",100.872921754769
-145,"Max",100.941081320903
-135,"Max",100.999780422216
-125,"Max",101.063145227825
-115,"Max",101.127876280588
-105,"Max",101.18707875811
-95,"Max",101.245868740859
-85,"Max",101.296290222792
-75,"Max",101.363826314221
-65,"Max",101.433673967799
-55,"Max",101.497122640508
-45,"Max",101.564359217948
-35,"Max",101.633074113318
-25,"Max",101.707829099575
-15,"Max",101.770570404191
-5,"Max",101.851987011054
5,"Max",101.906218721364
15,"Max",101.953330124355
25,"Max",102.006839930719
35,"Max",102.039829896536
45,"Max",102.085370334678
55,"Max",102.118606532016
65,"Max",102.143023575554
75,"Max",102.163816648866
85,"Max",102.185636480815
95,"Max",102.189319902754
105,"Max",102.192117648029
115,"Max",102.195951574181
125,"Max",102.185737217138
135,"Max",102.17929355742
145,"Max",102.155148341315
155,"Max",102.137001191522
165,"Max",102.109633128225
175,"Max",102.067889274033
185,"Max",102.021979501214
195,"Max",101.963373491345
-195,"P85",99.2102227600208
-185,"P85",99.2625404447616
-175,"P85",99.3340971124226
-165,"P85",99.4290480955452
-155,"P85",99.5010551071656
-145,"P85",99.5864508193509
-135,"P85",99.7095430107259
-125,"P85",99.8499157802191
-115,"P85",99.9836500463056
-105,"P85",100.129790581211
-95,"P85",100.266255771685
-85,"P85",100.413817749376
-75,"P85",100.567366293487
-65,"P85",100.747739471364
-55,"P85",100.889177626444
-45,"P85",101.029142468464
-35,"P85",101.140111609819
-25,"P85",101.250911845201
-15,"P85",101.353449182606
-5,"P85",101.470986530058
5,"P85",101.533542446758
15,"P85",101.614357520423
25,"P85",101.68130932306
35,"P85",101.735375304453
45,"P85",101.782586492477
55,"P85",101.836982027431
65,"P85",101.870906544279
75,"P85",101.913776183078
85,"P85",101.953176661456
95,"P85",101.995121075929
105,"P85",102.013246558181
115,"P85",102.039091634758
125,"P85",102.046040182282
135,"P85",102.052270704931
145,"P85",102.03453323198
155,"P85",102.011848767754
165,"P85",101.984399907811
175,"P85",101.950490902674
185,"P85",101.901724133645
195,"P85",101.852060633068
-195,"Median",98.2118899164494
-185,"Median",98.2709838320849
-175,"Median",98.3484390208075
-165,"Median",98.4337497397277
-155,"Median",98.5227475606337
-145,"Median",98.6616573031587
-135,"Median",98.7864873412194
-125,"Median",98.8833497091397
-115,"Median",98.9873039047237
-105,"Median",99.0856991171795
-95,"Median",99.1987374224179
-85,"Median",99.3049271180332
-75,"Median",99.4209274730504
-65,"Median",99.5235605539925
-55,"Median",99.6594020010403
-45,"Median",99.7612803507534
-35,"Median",99.8720593983433
-25,"Median",99.9950128008527
-15,"Median",100.100834511974
-5,"Median",100.232376468566
5,"Median",100.333244041567
15,"Median",100.436511637164
25,"Median",100.522770887325
35,"Median",100.596154455785
45,"Median",100.70375836902
55,"Median",100.776711833939
65,"Median",100.869371335177
75,"Median",100.932923240028
85,"Median",100.988255537831
95,"Median",101.041930010109
105,"Median",101.131861428954
115,"Median",101.146447192507
125,"Median",101.160639378707
135,"Median",101.202409930847
145,"Median",101.233371399173
155,"Median",101.258118593972
165,"Median",101.282806734446
175,"Median",101.303158564621
185,"Median",101.305263895979
195,"Median",101.297025526822
-195,"Avg",98.0903176586333
-185,"Avg",98.1663514657185
-175,"Avg",98.2435889566948
-165,"Avg",98.3375326460674
-155,"Avg",98.4117388901189
-145,"Avg",98.5165480624346
-135,"Avg",98.623515223343
-125,"Avg",98.7342615625543
-115,"Avg",98.8595063147045
-105,"Avg",98.9745761587779
-95,"Avg",99.0926216336641
-85,"Avg",99.2109052707356
-75,"Avg",99.3410795879068
-65,"Avg",99.4736509836735
-55,"Avg",99.6020277989808
-45,"Avg",99.7253594739593
-35,"Avg",99.83237577134
-25,"Avg",99.9489291244132
-15,"Avg",100.059516518532
-5,"Avg",100.173531943649
5,"Avg",100.267469552106
15,"Avg",100.362771387707
25,"Avg",100.439590273483
35,"Avg",100.521688911441
45,"Avg",100.599504536805
55,"Avg",100.667465116285
65,"Avg",100.739804842188
75,"Avg",100.796568677049
85,"Avg",100.851298277461
95,"Avg",100.908014585839
105,"Avg",100.956756964827
115,"Avg",100.994116848848
125,"Avg",101.018812197461
135,"Avg",101.047218994856
145,"Avg",101.065065560081
155,"Avg",101.074807846141
165,"Avg",101.083660886219
175,"Avg",101.088320437097
185,"Avg",101.075306814777
195,"Avg",101.058715815306
-195,"Min",96.0671137165152
-185,"Min",96.2107733911357
-175,"Min",96.3330250188761
-165,"Min",96.454963667496
-155,"Min",96.5558259555063
-145,"Min",96.7022709859467
-135,"Min",96.834951124805
-125,"Min",96.9412464417101
-115,"Min",97.10455297973
-105,"Min",97.2252028874082
-95,"Min",97.3644072332557
-85,"Min",97.4970026259528
-75,"Min",97.6452207394831
-65,"Min",97.7840661824333
-55,"Min",97.9239047644389
-45,"Min",98.0803972118152
-35,"Min",98.1938332273922
-25,"Min",98.3413944674001
-15,"Min",98.5088911902011
-5,"Min",98.6219164611547
5,"Min",98.7736584966761
15,"Min",98.9068044000826
25,"Min",99.0054891061512
35,"Min",99.1385748702719
45,"Min",99.2582407916543
55,"Min",99.3677473148351
65,"Min",99.482737378284
75,"Min",99.5598305063067
85,"Min",99.617242840297
95,"Min",99.6744355440906
105,"Min",99.712264653802
115,"Min",99.7501846684259
125,"Min",99.7784221681618
135,"Min",99.8016799858267
145,"Min",99.8247363415063
155,"Min",99.844519971732
165,"Min",99.8524534639041
175,"Min",99.8599910480529
185,"Min",99.8511082467257
195,"Min",99.8422847494845
