"position.disgap","Type","MedianLongitudinalSpeed"
-195,"Max",60.3490278700777
-185,"Max",60.0770283677459
-175,"Max",59.7563417112823
-165,"Max",59.4393368636244
-155,"Max",59.1224609463786
-145,"Max",58.7868626879705
-135,"Max",58.5023489711448
-125,"Max",58.1947938396562
-115,"Max",57.8611705727881
-105,"Max",57.5768396935695
-95,"Max",57.2519228324543
-85,"Max",56.9278877875265
-75,"Max",57.0311505582357
-65,"Max",57.9438575041061
-55,"Max",59.0809169696872
-45,"Max",60.1925503436661
-35,"Max",61.3011233896678
-25,"Max",62.3334629508072
-15,"Max",63.3387555517794
-5,"Max",64.3386066317134
5,"Max",65.3159001589965
15,"Max",66.1493031563464
25,"Max",67.0715628220494
35,"Max",68.0558554861287
45,"Max",68.9365808743705
55,"Max",69.789551678325
65,"Max",70.618882441353
75,"Max",71.41857305748
85,"Max",72.234034581988
95,"Max",72.988497248781
105,"Max",73.767326420125
115,"Max",74.5084217606905
125,"Max",75.1978740739851
135,"Max",75.87425296184
145,"Max",76.4934003549745
155,"Max",77.1227246612125
165,"Max",77.8614558137965
175,"Max",78.5062722842745
185,"Max",79.2049675600419
195,"Max",79.8165587965743
-195,"P85",57.1065403367568
-185,"P85",57.3737195284093
-175,"P85",57.5765888672583
-165,"P85",57.769076481089
-155,"P85",57.7802691160149
-145,"P85",57.4841588653287
-135,"P85",57.1832067847323
-125,"P85",56.8934375831415
-115,"P85",56.7041210129953
-105,"P85",56.6785835001334
-95,"P85",56.6511542042277
-85,"P85",56.73316708968
-75,"P85",56.8460021388964
-65,"P85",57.5397322354244
-55,"P85",58.0944546268382
-45,"P85",58.6424454474384
-35,"P85",59.1705675247961
-25,"P85",59.6755399448421
-15,"P85",60.4754695140613
-5,"P85",61.5264431558106
5,"P85",62.5651658923508
15,"P85",63.6257465896993
25,"P85",64.6126437265924
35,"P85",65.6052310525201
45,"P85",66.4224411922407
55,"P85",67.353105462218
65,"P85",68.3356536083642
75,"P85",69.2167572066013
